DATE: 2018/06/07
TIME: 07:04:04
Frequency(Hz),	I(V),	Q(V)
355532328.00,-0.199828,-0.327053
355532428.00,-0.200677,-0.326479
355532529.00,-0.200550,-0.327061
355532629.00,-0.200880,-0.327076
355532730.00,-0.201416,-0.326854
355532830.00,-0.201669,-0.327017
355532931.00,-0.201639,-0.326600
355533031.00,-0.202435,-0.326837
355533132.00,-0.202611,-0.326561
355533232.00,-0.202545,-0.326850
355533333.00,-0.202427,-0.325639
355533433.00,-0.203027,-0.325939
355533534.00,-0.202945,-0.325432
355533634.00,-0.203378,-0.325521
355533735.00,-0.203447,-0.325361
355533835.00,-0.203650,-0.325031
355533936.00,-0.204197,-0.324721
355534036.00,-0.204472,-0.324742
355534137.00,-0.204712,-0.324614
355534237.00,-0.204727,-0.324316
355534338.00,-0.205415,-0.323812
355534438.00,-0.205715,-0.324114
355534539.00,-0.206169,-0.324344
355534639.00,-0.206230,-0.323693
355534740.00,-0.206671,-0.323921
355534840.00,-0.206970,-0.323741
355534941.00,-0.206984,-0.323215
355535041.00,-0.206797,-0.323291
355535142.00,-0.207781,-0.322879
355535242.00,-0.207670,-0.322772
355535343.00,-0.207614,-0.322610
355535443.00,-0.208706,-0.322140
355535544.00,-0.208727,-0.321776
355535644.00,-0.208788,-0.321634
355535745.00,-0.209349,-0.321438
355535845.00,-0.209806,-0.320975
355535946.00,-0.210080,-0.320668
355536046.00,-0.210801,-0.320595
355536147.00,-0.211340,-0.320532
355536247.00,-0.211428,-0.320662
355536348.00,-0.211776,-0.319808
355536448.00,-0.212338,-0.319424
355536549.00,-0.212783,-0.319607
355536649.00,-0.213370,-0.318987
355536750.00,-0.213833,-0.318341
355536850.00,-0.214131,-0.318681
355536951.00,-0.214448,-0.317872
355537051.00,-0.214878,-0.317524
355537152.00,-0.215130,-0.317451
355537252.00,-0.215838,-0.317094
355537353.00,-0.216128,-0.316588
355537453.00,-0.216910,-0.316001
355537554.00,-0.216898,-0.315633
355537654.00,-0.217721,-0.315358
355537755.00,-0.218021,-0.314674
355537855.00,-0.218778,-0.314811
355537956.00,-0.219207,-0.314542
355538056.00,-0.219697,-0.314154
355538157.00,-0.220468,-0.313528
355538257.00,-0.220285,-0.312829
355538358.00,-0.221260,-0.312228
355538458.00,-0.221665,-0.311820
355538559.00,-0.222355,-0.311119
355538659.00,-0.222485,-0.310425
355538760.00,-0.223496,-0.309906
