DATE: 2018/06/07
TIME: 06:59:01
Frequency(Hz),	I(V),	Q(V)
361745492.00,-0.322683,-0.221609
361748056.00,-0.322626,-0.221843
361750620.00,-0.322421,-0.221782
361753184.00,-0.321912,-0.221424
361755748.00,-0.321948,-0.221400
361758312.00,-0.321455,-0.221672
361760876.00,-0.321063,-0.221466
361763440.00,-0.320387,-0.220731
361766004.00,-0.320302,-0.220584
361768568.00,-0.319716,-0.220063
361771133.00,-0.319268,-0.220736
361773697.00,-0.318492,-0.220539
361776261.00,-0.317433,-0.220030
361778825.00,-0.316357,-0.219883
361781389.00,-0.314779,-0.219705
361783953.00,-0.313091,-0.219724
361786517.00,-0.310636,-0.219822
361789081.00,-0.306903,-0.220693
361791645.00,-0.301081,-0.221870
361794209.00,-0.292014,-0.225045
361796774.00,-0.275514,-0.238707
361799338.00,-0.275898,-0.288732
361801902.00,-0.346345,-0.284875
361804466.00,-0.353521,-0.252045
361807030.00,-0.348906,-0.238736
361809594.00,-0.343682,-0.232947
361812158.00,-0.340882,-0.229775
361814722.00,-0.338492,-0.227784
361817286.00,-0.337080,-0.226632
361819850.00,-0.335950,-0.225221
361822415.00,-0.334666,-0.224774
361824979.00,-0.333999,-0.224508
361827543.00,-0.333172,-0.223865
361830107.00,-0.332528,-0.223660
361832671.00,-0.331781,-0.223538
361835235.00,-0.331409,-0.223782
361837799.00,-0.331356,-0.222705
361840363.00,-0.330694,-0.222533
361842927.00,-0.330834,-0.222303
361845492.00,-0.330126,-0.222258
