DATE: 2018/06/07
TIME: 07:22:49
Frequency(Hz),	I(V),	Q(V)
341207825.00,-0.216554,-0.289759
341259107.00,-0.217417,-0.289937
341310389.00,-0.218500,-0.291163
341361671.00,-0.219689,-0.291735
341412953.00,-0.220509,-0.292070
341464235.00,-0.221602,-0.292852
341515517.00,-0.223438,-0.293270
341566799.00,-0.223791,-0.293705
341618081.00,-0.225195,-0.294317
341669363.00,-0.226851,-0.294887
341720645.00,-0.227698,-0.295043
341771927.00,-0.229484,-0.295298
341823209.00,-0.229953,-0.295782
341874491.00,-0.231612,-0.296243
341925773.00,-0.232939,-0.296175
341977055.00,-0.234310,-0.296453
342028337.00,-0.236025,-0.296644
342079619.00,-0.237241,-0.296388
342130901.00,-0.239373,-0.296201
342182183.00,-0.243420,-0.292516
342233466.00,-0.234547,-0.302923
342284748.00,-0.239259,-0.300015
342336030.00,-0.241408,-0.299491
342387312.00,-0.242923,-0.299115
342438594.00,-0.244336,-0.299676
342489876.00,-0.245251,-0.299537
342541158.00,-0.247140,-0.299377
342592440.00,-0.248298,-0.299397
342643722.00,-0.249999,-0.299077
342695004.00,-0.250912,-0.298952
342746286.00,-0.252059,-0.298927
342797568.00,-0.253339,-0.298781
342848850.00,-0.254689,-0.298594
342900132.00,-0.255678,-0.298317
342951414.00,-0.256770,-0.298109
343002696.00,-0.258020,-0.298136
343053978.00,-0.259435,-0.297866
343105260.00,-0.260451,-0.297351
343156542.00,-0.261798,-0.296951
343207825.00,-0.262869,-0.296711
