DATE: 2018/06/07
TIME: 07:15:12
Frequency(Hz),	I(V),	Q(V)
342000000.00,-0.218936,-0.348601
342008163.00,-0.219237,-0.348722
342016326.00,-0.220608,-0.348484
342024489.00,-0.220352,-0.348427
342032653.00,-0.220490,-0.349876
342040816.00,-0.221654,-0.350375
342048979.00,-0.222446,-0.350043
342057142.00,-0.221837,-0.349600
342065306.00,-0.222446,-0.349296
342073469.00,-0.223486,-0.348682
342081632.00,-0.223785,-0.349811
342089795.00,-0.223938,-0.348796
342097959.00,-0.224697,-0.348967
342106122.00,-0.224949,-0.349009
342114285.00,-0.225933,-0.347844
342122448.00,-0.227399,-0.349811
342130612.00,-0.227631,-0.346848
342138775.00,-0.228530,-0.347765
342146938.00,-0.228619,-0.346803
342155102.00,-0.230027,-0.346513
342163265.00,-0.231446,-0.345539
342171428.00,-0.231970,-0.344227
342179591.00,-0.234393,-0.341556
342187755.00,-0.239353,-0.336558
342195918.00,-0.245187,-0.326128
342204081.00,-0.251122,-0.263011
342212244.00,-0.161123,-0.378960
342220408.00,-0.205890,-0.367633
342228571.00,-0.215270,-0.362996
342236734.00,-0.219588,-0.359040
342244897.00,-0.222126,-0.358502
342253061.00,-0.223985,-0.358307
342261224.00,-0.225413,-0.356579
342269387.00,-0.226355,-0.357149
342277551.00,-0.227412,-0.356585
342285714.00,-0.227857,-0.355987
342293877.00,-0.229387,-0.356044
342302040.00,-0.229540,-0.355752
342310204.00,-0.230979,-0.354817
342318367.00,-0.230265,-0.355070
342326530.00,-0.230982,-0.354875
342334693.00,-0.232453,-0.354914
342342857.00,-0.232542,-0.354392
342351020.00,-0.232992,-0.354911
342359183.00,-0.234208,-0.354592
342367346.00,-0.234218,-0.353888
342375510.00,-0.234385,-0.354935
342383673.00,-0.235779,-0.354729
342391836.00,-0.235753,-0.355116
342400000.00,-0.235955,-0.354690
