DATE: 2018/06/07
TIME: 06:56:19
Frequency(Hz),	I(V),	Q(V)
342192798.00,-0.248245,-0.289842
342192898.00,-0.248230,-0.289585
342192999.00,-0.248293,-0.290217
342193099.00,-0.248301,-0.289922
342193200.00,-0.248753,-0.289580
342193300.00,-0.248831,-0.289532
342193401.00,-0.248583,-0.289612
342193501.00,-0.248506,-0.289709
342193602.00,-0.248415,-0.288850
342193702.00,-0.248671,-0.289094
342193803.00,-0.248872,-0.289044
342193903.00,-0.248760,-0.289413
342194004.00,-0.248934,-0.289188
342194104.00,-0.248548,-0.288933
342194205.00,-0.249157,-0.288997
342194305.00,-0.248894,-0.288847
342194406.00,-0.249387,-0.288366
342194506.00,-0.249118,-0.288479
342194607.00,-0.249212,-0.288507
342194707.00,-0.249154,-0.288692
342194808.00,-0.249508,-0.288179
342194908.00,-0.249231,-0.288565
342195009.00,-0.249202,-0.288267
342195109.00,-0.249093,-0.287905
342195210.00,-0.249437,-0.288117
342195310.00,-0.249056,-0.287813
342195411.00,-0.249134,-0.287944
342195511.00,-0.249252,-0.287660
342195612.00,-0.249198,-0.287270
342195712.00,-0.249514,-0.287269
342195813.00,-0.249542,-0.286886
342195913.00,-0.249883,-0.287025
342196014.00,-0.250461,-0.286757
342196114.00,-0.249881,-0.286586
342196215.00,-0.249936,-0.286363
342196315.00,-0.250156,-0.286716
342196416.00,-0.250285,-0.286517
342196516.00,-0.250452,-0.286502
342196617.00,-0.250187,-0.286240
342196717.00,-0.250673,-0.286207
342196818.00,-0.250069,-0.285569
342196918.00,-0.250607,-0.285627
342197019.00,-0.250657,-0.285782
342197119.00,-0.250873,-0.285645
342197220.00,-0.250970,-0.285190
342197320.00,-0.250660,-0.284844
342197421.00,-0.251030,-0.284932
342197521.00,-0.251383,-0.284410
342197622.00,-0.251130,-0.284343
342197722.00,-0.251061,-0.284436
342197823.00,-0.250715,-0.284104
342197923.00,-0.251105,-0.284353
342198024.00,-0.251276,-0.283547
342198124.00,-0.251421,-0.283802
342198225.00,-0.251618,-0.282945
342198325.00,-0.251125,-0.283579
342198426.00,-0.251135,-0.283282
342198526.00,-0.251728,-0.282771
342198627.00,-0.251870,-0.282450
342198727.00,-0.251354,-0.282433
342198828.00,-0.251571,-0.282053
342198928.00,-0.251728,-0.281808
342199029.00,-0.252175,-0.281713
342199129.00,-0.252017,-0.281605
342199230.00,-0.251683,-0.281393
342199330.00,-0.252090,-0.281095
342199431.00,-0.251921,-0.281300
342199531.00,-0.251715,-0.281115
342199632.00,-0.251897,-0.280418
342199732.00,-0.252145,-0.280205
342199833.00,-0.252367,-0.279834
342199933.00,-0.252415,-0.279474
342200034.00,-0.252303,-0.279327
342200134.00,-0.252353,-0.279013
342200235.00,-0.252913,-0.278383
342200335.00,-0.253055,-0.278297
342200436.00,-0.253059,-0.277813
342200536.00,-0.252804,-0.277318
342200637.00,-0.253023,-0.276986
342200737.00,-0.253019,-0.276830
342200838.00,-0.253559,-0.276340
342200938.00,-0.253390,-0.275703
342201039.00,-0.253779,-0.275579
342201139.00,-0.253369,-0.275361
342201240.00,-0.253564,-0.275372
342201340.00,-0.253487,-0.274619
342201441.00,-0.253828,-0.274500
342201541.00,-0.253606,-0.273728
342201642.00,-0.254173,-0.273609
342201742.00,-0.253443,-0.272757
342201843.00,-0.253905,-0.272350
342201943.00,-0.253935,-0.271764
342202044.00,-0.254021,-0.271230
342202144.00,-0.253779,-0.270536
342202245.00,-0.253329,-0.269970
342202345.00,-0.253550,-0.269091
342202446.00,-0.253615,-0.268300
342202546.00,-0.253744,-0.268028
342202647.00,-0.253730,-0.267145
342202747.00,-0.253646,-0.266780
342202848.00,-0.253599,-0.266069
342202948.00,-0.253707,-0.265586
342203049.00,-0.253632,-0.264422
342203149.00,-0.253194,-0.264292
342203250.00,-0.253267,-0.263441
342203350.00,-0.253324,-0.262449
342203451.00,-0.252850,-0.261753
342203551.00,-0.252793,-0.260801
342203652.00,-0.252633,-0.260041
342203752.00,-0.252582,-0.259329
342203853.00,-0.252371,-0.258299
342203953.00,-0.252189,-0.257351
342204054.00,-0.251721,-0.255650
342204154.00,-0.251802,-0.254864
342204255.00,-0.251221,-0.254389
342204355.00,-0.250690,-0.252796
342204456.00,-0.250665,-0.251928
342204556.00,-0.249909,-0.249716
342204657.00,-0.249263,-0.248201
342204757.00,-0.248630,-0.247393
342204858.00,-0.248226,-0.245364
342204958.00,-0.246844,-0.244165
342205059.00,-0.245723,-0.242758
342205159.00,-0.244831,-0.241344
342205260.00,-0.243202,-0.239752
342205360.00,-0.241995,-0.238146
342205461.00,-0.240621,-0.236820
342205561.00,-0.238682,-0.235231
342205662.00,-0.236724,-0.233581
342205762.00,-0.235033,-0.232160
342205863.00,-0.232912,-0.230925
342205963.00,-0.230736,-0.229893
342206064.00,-0.227600,-0.228189
342206164.00,-0.224493,-0.227369
342206265.00,-0.221279,-0.226423
342206365.00,-0.218280,-0.225586
342206466.00,-0.213903,-0.224755
342206566.00,-0.209682,-0.224614
342206667.00,-0.206170,-0.224345
342206767.00,-0.201752,-0.224832
342206868.00,-0.197093,-0.226003
342206968.00,-0.193293,-0.227030
342207069.00,-0.188428,-0.228924
342207169.00,-0.184008,-0.230738
342207270.00,-0.180318,-0.233179
342207370.00,-0.176645,-0.235784
342207471.00,-0.172988,-0.240277
342207571.00,-0.170369,-0.243305
342207672.00,-0.167284,-0.246695
342207772.00,-0.164737,-0.251117
342207873.00,-0.163334,-0.254902
342207973.00,-0.161931,-0.259921
342208074.00,-0.161141,-0.263162
342208174.00,-0.160641,-0.267626
342208275.00,-0.160305,-0.270965
342208375.00,-0.160369,-0.274836
342208476.00,-0.161227,-0.278463
342208576.00,-0.161763,-0.282017
342208677.00,-0.162491,-0.284987
342208777.00,-0.163659,-0.288180
342208878.00,-0.165007,-0.290709
342208978.00,-0.166712,-0.293624
342209079.00,-0.167889,-0.295502
342209179.00,-0.170236,-0.298362
342209280.00,-0.171993,-0.299833
342209380.00,-0.173304,-0.301258
342209481.00,-0.175113,-0.303335
342209581.00,-0.176755,-0.303800
342209682.00,-0.178728,-0.305503
342209782.00,-0.180980,-0.306840
342209883.00,-0.181793,-0.307872
342209983.00,-0.183688,-0.308639
342210084.00,-0.185242,-0.309231
342210184.00,-0.186429,-0.310102
342210285.00,-0.188163,-0.310537
342210385.00,-0.189073,-0.311126
342210486.00,-0.190557,-0.311847
342210586.00,-0.192066,-0.312120
342210687.00,-0.192940,-0.312640
342210787.00,-0.194809,-0.312627
342210888.00,-0.195691,-0.312791
342210988.00,-0.196431,-0.312868
342211089.00,-0.197459,-0.313480
342211189.00,-0.199108,-0.313569
342211290.00,-0.200009,-0.313525
342211390.00,-0.200858,-0.313885
342211491.00,-0.201963,-0.313959
342211591.00,-0.202375,-0.313918
342211692.00,-0.203186,-0.314564
342211792.00,-0.203946,-0.314467
342211893.00,-0.205044,-0.314164
342211993.00,-0.205844,-0.314145
342212094.00,-0.206761,-0.314168
342212194.00,-0.206951,-0.314174
342212295.00,-0.208124,-0.314448
342212395.00,-0.208717,-0.313934
342212496.00,-0.209316,-0.313997
342212596.00,-0.209847,-0.313915
342212697.00,-0.210670,-0.314381
342212798.00,-0.211272,-0.314430
