DATE: 2018/06/07
TIME: 06:32:12
Frequency(Hz),	I(V),	Q(V)
355485918.00,-0.181484,-0.337186
355488482.00,-0.181514,-0.336615
355491046.00,-0.181823,-0.336963
355493610.00,-0.182551,-0.336562
355496174.00,-0.183323,-0.336754
355498738.00,-0.183186,-0.336961
355501302.00,-0.183660,-0.336948
355503866.00,-0.184575,-0.336682
355506430.00,-0.185113,-0.336477
355508994.00,-0.185584,-0.336391
355511559.00,-0.186821,-0.336411
355514123.00,-0.187461,-0.336676
355516687.00,-0.188769,-0.336014
355519251.00,-0.190144,-0.335789
355521815.00,-0.191225,-0.335575
355524379.00,-0.193057,-0.334371
355526943.00,-0.196063,-0.333807
355529507.00,-0.198844,-0.332856
355532071.00,-0.203303,-0.330810
355534635.00,-0.209617,-0.327544
355537200.00,-0.219378,-0.320608
355539764.00,-0.234373,-0.305743
355542328.00,-0.253596,-0.255350
355544892.00,-0.115600,-0.187006
355547456.00,-0.085226,-0.292741
355550020.00,-0.115236,-0.326267
355552584.00,-0.133658,-0.335437
355555148.00,-0.143673,-0.338701
355557712.00,-0.150461,-0.340157
355560276.00,-0.154578,-0.340821
355562841.00,-0.157952,-0.340880
355565405.00,-0.160563,-0.341356
355567969.00,-0.162368,-0.341977
355570533.00,-0.163665,-0.341873
355573097.00,-0.165010,-0.341728
355575661.00,-0.166597,-0.341841
355578225.00,-0.167221,-0.341777
355580789.00,-0.168010,-0.341759
355583353.00,-0.169012,-0.342061
355585918.00,-0.169794,-0.342568
