DATE: 2018/06/07
TIME: 06:47:49
Frequency(Hz),	I(V),	Q(V)
331627927.00,-0.342501,-0.244036
331628027.00,-0.342348,-0.244213
331628128.00,-0.341894,-0.244159
331628228.00,-0.341855,-0.244256
331628329.00,-0.341692,-0.244232
331628429.00,-0.341984,-0.243827
331628530.00,-0.341322,-0.243932
331628630.00,-0.341543,-0.243521
331628731.00,-0.340981,-0.243996
331628831.00,-0.340821,-0.243238
331628932.00,-0.340671,-0.243237
331629032.00,-0.340599,-0.243425
331629133.00,-0.340375,-0.243180
331629233.00,-0.339854,-0.243358
331629334.00,-0.339724,-0.243298
331629434.00,-0.339211,-0.243538
331629535.00,-0.339378,-0.243008
331629635.00,-0.339352,-0.243082
331629736.00,-0.338413,-0.243039
331629836.00,-0.338679,-0.243425
331629937.00,-0.338042,-0.243002
331630037.00,-0.337827,-0.243099
331630138.00,-0.337510,-0.242769
331630238.00,-0.337311,-0.242765
331630339.00,-0.337420,-0.242744
331630439.00,-0.337208,-0.242620
331630540.00,-0.336983,-0.242526
331630640.00,-0.337091,-0.242156
331630741.00,-0.336785,-0.242576
331630841.00,-0.336241,-0.242495
331630942.00,-0.336009,-0.242502
331631042.00,-0.335637,-0.242219
331631143.00,-0.335253,-0.241700
331631243.00,-0.335041,-0.241559
331631344.00,-0.335078,-0.241905
331631444.00,-0.334515,-0.241996
331631545.00,-0.334419,-0.242155
331631645.00,-0.333856,-0.241568
331631746.00,-0.333624,-0.241777
331631846.00,-0.333002,-0.241595
331631947.00,-0.333316,-0.241748
331632047.00,-0.332571,-0.241434
331632148.00,-0.332119,-0.241129
331632248.00,-0.331798,-0.241446
331632349.00,-0.331281,-0.241400
331632449.00,-0.331172,-0.241451
331632550.00,-0.330478,-0.241544
331632650.00,-0.329854,-0.241986
331632751.00,-0.329518,-0.241564
331632851.00,-0.329010,-0.241444
331632952.00,-0.328438,-0.241205
331633052.00,-0.328005,-0.241376
331633153.00,-0.327536,-0.241663
331633253.00,-0.327263,-0.241208
331633354.00,-0.327087,-0.241162
331633454.00,-0.326449,-0.240985
331633555.00,-0.326453,-0.241263
331633655.00,-0.325917,-0.241209
331633756.00,-0.325120,-0.241158
331633856.00,-0.324324,-0.241490
331633957.00,-0.323898,-0.241286
331634057.00,-0.323396,-0.241337
331634158.00,-0.322582,-0.241145
331634258.00,-0.321734,-0.241255
331634359.00,-0.321036,-0.241092
331634459.00,-0.320518,-0.240986
331634560.00,-0.319783,-0.240708
331634660.00,-0.319004,-0.241132
331634761.00,-0.318235,-0.241091
331634861.00,-0.317969,-0.240663
331634962.00,-0.317399,-0.240704
331635062.00,-0.316427,-0.241036
331635163.00,-0.315701,-0.241060
331635263.00,-0.314849,-0.241210
331635364.00,-0.313754,-0.241340
331635464.00,-0.313661,-0.241625
331635565.00,-0.312611,-0.241056
331635665.00,-0.311806,-0.241321
331635766.00,-0.311152,-0.241344
331635866.00,-0.310121,-0.241200
331635967.00,-0.308627,-0.241623
331636067.00,-0.308042,-0.241090
331636168.00,-0.306766,-0.241584
331636268.00,-0.305772,-0.241871
331636369.00,-0.304160,-0.241889
331636469.00,-0.303120,-0.242004
331636570.00,-0.302038,-0.242367
331636670.00,-0.300626,-0.242627
331636771.00,-0.299675,-0.242800
331636871.00,-0.298016,-0.243337
331636972.00,-0.296839,-0.243336
331637072.00,-0.295877,-0.243596
331637173.00,-0.294103,-0.244338
