DATE: 2018/06/07
TIME: 06:38:39
Frequency(Hz),	I(V),	Q(V)
355532798.00,-0.231741,-0.292271
355532898.00,-0.232206,-0.292656
355532999.00,-0.232343,-0.292499
355533099.00,-0.232409,-0.292601
355533200.00,-0.232583,-0.292323
355533300.00,-0.232551,-0.292088
355533401.00,-0.233106,-0.292093
355533501.00,-0.233199,-0.292325
355533602.00,-0.233563,-0.292137
355533702.00,-0.233096,-0.292339
355533803.00,-0.233421,-0.291939
355533903.00,-0.233317,-0.292082
355534004.00,-0.233113,-0.292016
355534104.00,-0.233545,-0.291912
355534205.00,-0.233853,-0.291840
355534305.00,-0.233902,-0.291570
355534406.00,-0.233807,-0.291492
355534506.00,-0.234066,-0.291540
355534607.00,-0.234516,-0.291756
355534707.00,-0.234515,-0.291435
355534808.00,-0.234608,-0.291367
355534908.00,-0.234831,-0.291363
355535009.00,-0.234860,-0.291000
355535109.00,-0.235115,-0.291047
355535210.00,-0.235451,-0.291183
355535310.00,-0.235626,-0.290942
355535411.00,-0.235531,-0.290778
355535511.00,-0.235722,-0.290209
355535612.00,-0.235666,-0.290296
355535712.00,-0.236123,-0.290144
355535813.00,-0.236443,-0.290385
355535913.00,-0.236794,-0.290192
355536014.00,-0.236808,-0.290468
355536114.00,-0.237220,-0.289486
355536215.00,-0.237559,-0.289492
355536315.00,-0.238062,-0.289209
355536416.00,-0.238262,-0.289048
355536516.00,-0.238072,-0.289277
355536617.00,-0.238218,-0.289082
355536717.00,-0.238313,-0.288863
355536818.00,-0.238815,-0.288677
355536918.00,-0.238585,-0.288677
355537019.00,-0.238689,-0.288099
355537119.00,-0.239121,-0.287958
355537220.00,-0.238880,-0.288043
355537320.00,-0.238957,-0.287390
355537421.00,-0.240012,-0.287513
355537521.00,-0.239933,-0.287168
355537622.00,-0.240379,-0.286707
355537722.00,-0.240912,-0.286673
355537823.00,-0.241023,-0.286352
355537923.00,-0.241073,-0.286120
355538024.00,-0.241099,-0.285942
355538124.00,-0.242109,-0.285632
355538225.00,-0.242181,-0.285789
355538325.00,-0.242298,-0.285840
355538426.00,-0.242586,-0.284913
355538526.00,-0.243056,-0.284620
355538627.00,-0.243266,-0.284174
355538727.00,-0.243683,-0.283705
355538828.00,-0.243949,-0.283692
355538928.00,-0.244076,-0.283337
355539029.00,-0.245278,-0.282755
355539129.00,-0.245412,-0.282374
355539230.00,-0.245710,-0.281908
355539330.00,-0.246075,-0.281942
355539431.00,-0.246639,-0.281353
355539531.00,-0.246629,-0.281067
355539632.00,-0.247108,-0.280931
355539732.00,-0.246887,-0.279774
355539833.00,-0.247669,-0.279669
355539933.00,-0.248396,-0.279443
355540034.00,-0.248345,-0.278542
355540134.00,-0.248393,-0.278142
355540235.00,-0.249035,-0.277444
355540335.00,-0.249317,-0.277438
355540436.00,-0.249900,-0.276758
355540536.00,-0.249860,-0.276193
355540637.00,-0.250592,-0.275017
355540737.00,-0.251259,-0.274430
355540838.00,-0.251244,-0.273626
355540938.00,-0.251874,-0.272641
355541039.00,-0.252325,-0.271705
355541139.00,-0.252516,-0.271088
355541240.00,-0.253155,-0.270040
355541340.00,-0.253093,-0.268783
355541441.00,-0.253557,-0.267706
355541541.00,-0.254297,-0.266242
355541642.00,-0.254525,-0.265359
355541742.00,-0.254461,-0.264068
355541843.00,-0.255158,-0.262906
355541943.00,-0.255413,-0.261526
355542044.00,-0.255334,-0.260207
355542144.00,-0.255468,-0.258462
355542245.00,-0.255227,-0.256798
355542345.00,-0.255771,-0.255290
355542446.00,-0.255442,-0.252964
355542546.00,-0.255715,-0.251486
355542647.00,-0.255269,-0.249105
355542747.00,-0.254688,-0.246846
355542848.00,-0.253984,-0.245148
355542948.00,-0.254062,-0.243373
355543049.00,-0.252953,-0.241429
355543149.00,-0.252076,-0.238934
355543250.00,-0.250932,-0.237235
355543350.00,-0.249591,-0.234084
355543451.00,-0.248558,-0.232006
355543551.00,-0.246931,-0.229545
355543652.00,-0.244788,-0.227193
355543752.00,-0.242557,-0.225194
355543853.00,-0.239433,-0.222789
355543953.00,-0.236638,-0.220912
355544054.00,-0.233223,-0.218934
355544154.00,-0.230287,-0.217614
355544255.00,-0.225839,-0.216143
355544355.00,-0.222699,-0.215140
355544456.00,-0.218946,-0.214208
355544556.00,-0.213922,-0.214247
355544657.00,-0.209981,-0.214096
355544757.00,-0.204819,-0.215176
355544858.00,-0.201410,-0.215617
355544958.00,-0.197274,-0.216866
355545059.00,-0.194198,-0.218300
355545159.00,-0.189781,-0.220441
355545260.00,-0.186426,-0.222584
355545360.00,-0.183679,-0.224709
355545461.00,-0.180328,-0.228284
355545561.00,-0.178086,-0.230254
355545662.00,-0.176224,-0.232807
355545762.00,-0.174114,-0.236075
355545863.00,-0.172626,-0.238867
355545963.00,-0.171337,-0.241288
355546064.00,-0.170618,-0.244799
355546164.00,-0.169685,-0.247252
355546265.00,-0.169299,-0.249667
355546365.00,-0.168759,-0.252930
355546466.00,-0.168639,-0.254606
355546566.00,-0.168279,-0.257091
355546667.00,-0.168435,-0.259574
355546767.00,-0.168500,-0.261885
355546868.00,-0.168887,-0.263709
355546968.00,-0.169275,-0.265471
355547069.00,-0.169585,-0.267207
355547169.00,-0.170402,-0.268892
355547270.00,-0.170572,-0.270427
355547370.00,-0.171268,-0.271820
355547471.00,-0.171239,-0.273150
355547571.00,-0.172312,-0.274919
355547672.00,-0.172557,-0.275816
355547772.00,-0.173952,-0.276599
355547873.00,-0.174592,-0.278006
355547973.00,-0.175266,-0.278835
355548074.00,-0.175508,-0.279995
355548174.00,-0.175846,-0.280784
355548275.00,-0.176947,-0.281702
355548375.00,-0.177706,-0.282300
355548476.00,-0.178153,-0.283205
355548576.00,-0.178848,-0.283625
355548677.00,-0.179920,-0.284714
355548777.00,-0.180193,-0.285056
355548878.00,-0.181013,-0.285568
355548978.00,-0.181525,-0.286505
355549079.00,-0.181930,-0.286960
355549179.00,-0.182671,-0.287739
355549280.00,-0.183114,-0.288011
355549380.00,-0.183938,-0.288448
355549481.00,-0.184504,-0.288812
355549581.00,-0.185129,-0.289026
355549682.00,-0.184975,-0.289558
355549782.00,-0.185284,-0.289767
355549883.00,-0.185891,-0.290145
355549983.00,-0.186157,-0.290444
355550084.00,-0.187033,-0.291247
355550184.00,-0.186985,-0.291301
355550285.00,-0.187306,-0.291497
355550385.00,-0.187827,-0.291896
355550486.00,-0.188573,-0.292047
355550586.00,-0.188810,-0.292347
355550687.00,-0.189261,-0.292415
355550787.00,-0.189678,-0.292476
355550888.00,-0.190059,-0.293003
355550988.00,-0.190752,-0.293142
355551089.00,-0.190650,-0.293301
355551189.00,-0.191266,-0.293649
355551290.00,-0.191606,-0.293611
355551390.00,-0.192009,-0.293957
355551491.00,-0.192102,-0.294012
355551591.00,-0.192331,-0.293980
355551692.00,-0.192347,-0.294172
355551792.00,-0.193153,-0.294376
355551893.00,-0.193457,-0.294413
355551993.00,-0.194017,-0.294938
355552094.00,-0.194774,-0.294632
355552194.00,-0.194420,-0.294826
355552295.00,-0.195007,-0.294298
355552395.00,-0.194986,-0.294775
355552496.00,-0.195466,-0.295048
355552596.00,-0.195848,-0.295253
355552697.00,-0.195922,-0.295323
355552798.00,-0.196211,-0.295306
