DATE: 2018/06/07
TIME: 07:18:05
Frequency(Hz),	I(V),	Q(V)
361746186.00,-0.377009,-0.198300
361748750.00,-0.376895,-0.197808
361751314.00,-0.376104,-0.197370
361753878.00,-0.375874,-0.197242
361756442.00,-0.375084,-0.197233
361759006.00,-0.374596,-0.197100
361761570.00,-0.373949,-0.196594
361764134.00,-0.372960,-0.196430
361766698.00,-0.371806,-0.195956
361769262.00,-0.370600,-0.195505
361771827.00,-0.369520,-0.195537
361774391.00,-0.368114,-0.195189
361776955.00,-0.366540,-0.194849
361779519.00,-0.363860,-0.193791
361782083.00,-0.360908,-0.193738
361784647.00,-0.357321,-0.194096
361787211.00,-0.351564,-0.193847
361789775.00,-0.343720,-0.194848
361792339.00,-0.330920,-0.197070
361794903.00,-0.309318,-0.206555
361797468.00,-0.272824,-0.247207
361800032.00,-0.339149,-0.361473
361802596.00,-0.438354,-0.297202
361805160.00,-0.436080,-0.246156
361807724.00,-0.425409,-0.226510
361810288.00,-0.417182,-0.216786
361812852.00,-0.411564,-0.211517
361815416.00,-0.407526,-0.208079
361817980.00,-0.404273,-0.205730
361820544.00,-0.401808,-0.204061
361823109.00,-0.399838,-0.203296
361825673.00,-0.398317,-0.201705
361828237.00,-0.397344,-0.201013
361830801.00,-0.396418,-0.200877
361833365.00,-0.395169,-0.200052
361835929.00,-0.394170,-0.199523
361838493.00,-0.393665,-0.199102
361841057.00,-0.392740,-0.199095
361843621.00,-0.392430,-0.198221
361846186.00,-0.391822,-0.197698
