DATE: 2018/06/07
TIME: 07:16:28
Frequency(Hz),	I(V),	Q(V)
341206518.00,-0.183370,-0.334936
341257800.00,-0.185184,-0.336190
341309082.00,-0.186959,-0.337238
341360364.00,-0.189018,-0.338410
341411646.00,-0.191845,-0.339451
341462928.00,-0.193953,-0.340411
341514210.00,-0.196569,-0.341437
341565492.00,-0.198593,-0.342639
341616774.00,-0.200760,-0.343619
341668056.00,-0.203232,-0.344510
341719338.00,-0.205745,-0.345709
341770620.00,-0.208326,-0.346821
341821902.00,-0.210964,-0.347588
341873184.00,-0.213116,-0.348430
341924466.00,-0.215920,-0.347845
341975748.00,-0.217959,-0.348963
342027030.00,-0.220586,-0.349095
342078312.00,-0.223944,-0.348981
342129594.00,-0.227315,-0.347487
342180876.00,-0.236099,-0.341824
342232159.00,-0.217784,-0.361644
342283441.00,-0.228443,-0.356266
342334723.00,-0.232211,-0.354818
342386005.00,-0.235299,-0.354960
342437287.00,-0.238249,-0.354164
342488569.00,-0.241179,-0.354394
342539851.00,-0.243399,-0.354369
342591133.00,-0.245634,-0.353661
342642415.00,-0.248366,-0.353625
342693697.00,-0.251292,-0.353853
342744979.00,-0.253701,-0.353127
342796261.00,-0.256053,-0.352879
342847543.00,-0.258430,-0.353082
342898825.00,-0.261142,-0.352414
342950107.00,-0.263721,-0.352636
343001389.00,-0.266536,-0.352154
343052671.00,-0.269339,-0.351579
343103953.00,-0.271734,-0.351017
343155235.00,-0.274076,-0.350401
343206518.00,-0.276375,-0.349747
