DATE: 2018/06/07
TIME: 06:46:06
Frequency(Hz),	I(V),	Q(V)
354543953.00,-0.228284,-0.264738
354595235.00,-0.229101,-0.265875
354646517.00,-0.229218,-0.266207
354697799.00,-0.229712,-0.266690
354749081.00,-0.230620,-0.267284
354800363.00,-0.230419,-0.268208
354851645.00,-0.231005,-0.268973
354902927.00,-0.231415,-0.269366
354954209.00,-0.231712,-0.269757
355005491.00,-0.232356,-0.269746
355056773.00,-0.232476,-0.270398
355108055.00,-0.232750,-0.271217
355159337.00,-0.233702,-0.271842
355210619.00,-0.233807,-0.271814
355261901.00,-0.234517,-0.272296
355313183.00,-0.234937,-0.273320
355364465.00,-0.235194,-0.273343
355415747.00,-0.236285,-0.273810
355467029.00,-0.237270,-0.274106
355518311.00,-0.239850,-0.273823
355569594.00,-0.233314,-0.275083
355620876.00,-0.236532,-0.276169
355672158.00,-0.237890,-0.276273
355723440.00,-0.238400,-0.276318
355774722.00,-0.239302,-0.276567
355826004.00,-0.240204,-0.276895
355877286.00,-0.240387,-0.277810
355928568.00,-0.241383,-0.278087
355979850.00,-0.242195,-0.278052
356031132.00,-0.242614,-0.278457
356082414.00,-0.243563,-0.278857
356133696.00,-0.244182,-0.278935
356184978.00,-0.245286,-0.279361
356236260.00,-0.245638,-0.279652
356287542.00,-0.246584,-0.279842
356338824.00,-0.247589,-0.279656
356390106.00,-0.248127,-0.280054
356441388.00,-0.248724,-0.280309
356492670.00,-0.249509,-0.280804
356543953.00,-0.250728,-0.280612
