DATE: 2018/06/07
TIME: 07:10:07
Frequency(Hz),	I(V),	Q(V)
341208174.00,-0.217412,-0.290266
341259456.00,-0.218227,-0.290455
341310738.00,-0.219159,-0.291222
341362020.00,-0.220583,-0.292072
341413302.00,-0.221629,-0.292558
341464584.00,-0.222632,-0.293485
341515866.00,-0.224029,-0.293676
341567148.00,-0.224630,-0.294008
341618430.00,-0.225394,-0.294554
341669712.00,-0.226856,-0.294752
341720994.00,-0.228092,-0.295371
341772276.00,-0.229512,-0.296345
341823558.00,-0.230309,-0.296312
341874840.00,-0.231956,-0.296730
341926122.00,-0.233242,-0.296840
341977404.00,-0.234732,-0.297436
342028686.00,-0.236307,-0.297537
342079968.00,-0.237553,-0.297392
342131250.00,-0.239381,-0.296835
342182532.00,-0.243935,-0.293062
342233815.00,-0.234620,-0.302956
342285097.00,-0.239610,-0.300090
342336379.00,-0.241484,-0.299749
342387661.00,-0.242869,-0.299645
342438943.00,-0.244165,-0.299825
342490225.00,-0.245122,-0.299457
342541507.00,-0.246709,-0.299967
342592789.00,-0.248042,-0.299876
342644071.00,-0.249371,-0.299407
342695353.00,-0.250811,-0.299890
342746635.00,-0.251243,-0.299298
342797917.00,-0.252905,-0.299147
342849199.00,-0.254338,-0.299030
342900481.00,-0.255263,-0.299106
342951763.00,-0.256930,-0.298733
343003045.00,-0.257792,-0.298623
343054327.00,-0.258829,-0.298507
343105609.00,-0.260223,-0.298156
343156891.00,-0.261522,-0.297927
343208174.00,-0.262655,-0.297346
