DATE: 2018/06/07
TIME: 07:19:29
Frequency(Hz),	I(V),	Q(V)
331584081.00,-0.305675,-0.253124
331586645.00,-0.305575,-0.253206
331589209.00,-0.305309,-0.253137
331591773.00,-0.305308,-0.252812
331594337.00,-0.305090,-0.252853
331596901.00,-0.305153,-0.252808
331599465.00,-0.304474,-0.252308
331602029.00,-0.304195,-0.251866
331604593.00,-0.303404,-0.252067
331607157.00,-0.303451,-0.251777
331609722.00,-0.303187,-0.251640
331612286.00,-0.302854,-0.251507
331614850.00,-0.302523,-0.251296
331617414.00,-0.301647,-0.250834
331619978.00,-0.300754,-0.250240
331622542.00,-0.299172,-0.250016
331625106.00,-0.298318,-0.249212
331627670.00,-0.296546,-0.248866
331630234.00,-0.293259,-0.248374
331632798.00,-0.288911,-0.247222
331635363.00,-0.281141,-0.247542
331637927.00,-0.264895,-0.251380
331640491.00,-0.237163,-0.290927
331643055.00,-0.311503,-0.322331
331645619.00,-0.327692,-0.285315
331648183.00,-0.324058,-0.271535
331650747.00,-0.320971,-0.265624
331653311.00,-0.318726,-0.262449
331655875.00,-0.317000,-0.260133
331658439.00,-0.315874,-0.258930
331661004.00,-0.315049,-0.258050
331663568.00,-0.314476,-0.257585
331666132.00,-0.313956,-0.256852
331668696.00,-0.313369,-0.256363
331671260.00,-0.312944,-0.255854
331673824.00,-0.312297,-0.255430
331676388.00,-0.312252,-0.255099
331678952.00,-0.312174,-0.254626
331681516.00,-0.311571,-0.254130
331684081.00,-0.311323,-0.254022
