DATE: 2018/06/07
TIME: 07:06:33
Frequency(Hz),	I(V),	Q(V)
360799400.00,-0.389857,-0.253035
360850682.00,-0.390449,-0.249698
360901964.00,-0.390640,-0.246828
360953246.00,-0.390268,-0.244185
361004528.00,-0.390924,-0.241051
361055810.00,-0.390491,-0.238517
361107092.00,-0.390365,-0.235610
361158374.00,-0.390253,-0.232395
361209656.00,-0.390081,-0.229420
361260938.00,-0.389720,-0.227106
361312220.00,-0.389500,-0.223911
361363502.00,-0.389079,-0.221210
361414784.00,-0.388657,-0.218408
361466066.00,-0.388244,-0.215275
361517348.00,-0.387074,-0.212975
361568630.00,-0.386561,-0.209776
361619912.00,-0.384685,-0.206882
361671194.00,-0.383401,-0.203910
361722476.00,-0.380160,-0.200982
361773758.00,-0.368567,-0.196259
361825041.00,-0.399085,-0.203225
361876323.00,-0.387732,-0.196224
361927605.00,-0.384477,-0.192871
361978887.00,-0.382437,-0.190151
362030169.00,-0.380956,-0.186858
362081451.00,-0.379626,-0.184122
362132733.00,-0.377822,-0.181248
362184015.00,-0.376724,-0.178956
362235297.00,-0.374874,-0.176393
362286579.00,-0.373103,-0.173715
362337861.00,-0.370967,-0.171583
362389143.00,-0.369526,-0.168598
362440425.00,-0.368110,-0.166438
362491707.00,-0.366204,-0.164228
362542989.00,-0.364233,-0.161980
362594271.00,-0.362478,-0.159776
362645553.00,-0.360931,-0.157891
362696835.00,-0.358674,-0.156110
362748117.00,-0.356333,-0.154139
362799400.00,-0.354312,-0.151409
