DATE: 2018/06/07
TIME: 06:39:52
Frequency(Hz),	I(V),	Q(V)
361599082.00,-0.328598,-0.228794
361607245.00,-0.328698,-0.228770
361615408.00,-0.329428,-0.228189
361623571.00,-0.328676,-0.228119
361631735.00,-0.328685,-0.226811
361639898.00,-0.328307,-0.227050
361648061.00,-0.328909,-0.227612
361656224.00,-0.328982,-0.226829
361664388.00,-0.327458,-0.226837
361672551.00,-0.327437,-0.227235
361680714.00,-0.328188,-0.226320
361688877.00,-0.327748,-0.225538
361697041.00,-0.327442,-0.225677
361705204.00,-0.326823,-0.225491
361713367.00,-0.326623,-0.224747
361721530.00,-0.327184,-0.223887
361729694.00,-0.326613,-0.224612
361737857.00,-0.324720,-0.223663
361746020.00,-0.324893,-0.223877
361754184.00,-0.323982,-0.223821
361762347.00,-0.322589,-0.222203
361770510.00,-0.320481,-0.222379
361778673.00,-0.318396,-0.222277
361786837.00,-0.312011,-0.222237
361795000.00,-0.288649,-0.228040
361803163.00,-0.355932,-0.266419
361811326.00,-0.342993,-0.231446
361819490.00,-0.338069,-0.226598
361827653.00,-0.334724,-0.225607
361835816.00,-0.332939,-0.225074
361843979.00,-0.332580,-0.223299
361852143.00,-0.331592,-0.223506
361860306.00,-0.330833,-0.223007
361868469.00,-0.331117,-0.221894
361876633.00,-0.330145,-0.222137
361884796.00,-0.329319,-0.222314
361892959.00,-0.330281,-0.221161
361901122.00,-0.329401,-0.221678
361909286.00,-0.328745,-0.221130
361917449.00,-0.329087,-0.220903
361925612.00,-0.328310,-0.221538
361933775.00,-0.328105,-0.219789
361941939.00,-0.328484,-0.219754
361950102.00,-0.327693,-0.220471
361958265.00,-0.327158,-0.219140
361966428.00,-0.327509,-0.219833
361974592.00,-0.327258,-0.218515
361982755.00,-0.327682,-0.218707
361990918.00,-0.328184,-0.217629
361999082.00,-0.326341,-0.218125
