DATE: 2018/06/07
TIME: 06:30:48
Frequency(Hz),	I(V),	Q(V)
342154081.00,-0.235933,-0.351894
342156645.00,-0.235991,-0.351914
342159209.00,-0.236437,-0.351208
342161773.00,-0.237186,-0.351002
342164337.00,-0.237637,-0.350756
342166901.00,-0.238328,-0.350128
342169465.00,-0.238285,-0.349996
342172029.00,-0.238942,-0.349242
342174593.00,-0.239348,-0.348879
342177157.00,-0.240104,-0.348151
342179722.00,-0.240785,-0.347094
342182286.00,-0.241815,-0.345739
342184850.00,-0.243350,-0.344364
342187414.00,-0.243938,-0.342777
342189978.00,-0.246042,-0.340656
342192542.00,-0.247611,-0.337902
342195106.00,-0.250450,-0.333648
342197670.00,-0.253439,-0.326694
342200234.00,-0.257295,-0.315540
342202798.00,-0.260550,-0.291986
342205363.00,-0.234674,-0.230797
342207927.00,-0.071982,-0.299111
342210491.00,-0.135459,-0.380650
342213055.00,-0.178311,-0.384219
342215619.00,-0.196996,-0.379846
342218183.00,-0.206792,-0.376134
342220747.00,-0.212478,-0.373167
342223311.00,-0.216465,-0.370878
342225875.00,-0.219178,-0.369344
342228439.00,-0.221618,-0.368191
342231004.00,-0.222954,-0.367217
342233568.00,-0.224580,-0.366402
342236132.00,-0.225235,-0.365608
342238696.00,-0.226234,-0.364949
342241260.00,-0.227788,-0.364027
342243824.00,-0.228698,-0.363965
342246388.00,-0.229113,-0.363461
342248952.00,-0.229382,-0.363257
342251516.00,-0.229947,-0.363140
342254081.00,-0.230167,-0.362457
