DATE: 2018/06/07
TIME: 07:18:00
Frequency(Hz),	I(V),	Q(V)
361600268.00,-0.385274,-0.207043
361608431.00,-0.384644,-0.207348
361616594.00,-0.384992,-0.205176
361624757.00,-0.384310,-0.206872
361632921.00,-0.384439,-0.205429
361641084.00,-0.384460,-0.204351
361649247.00,-0.383237,-0.204332
361657410.00,-0.383117,-0.204095
361665574.00,-0.383144,-0.203628
361673737.00,-0.381895,-0.202774
361681900.00,-0.382122,-0.201646
361690063.00,-0.382235,-0.200969
361698227.00,-0.381708,-0.201639
361706390.00,-0.382008,-0.201045
361714553.00,-0.379226,-0.200555
361722716.00,-0.379923,-0.199387
361730880.00,-0.380089,-0.198883
361739043.00,-0.378528,-0.197001
361747206.00,-0.376888,-0.197186
361755370.00,-0.375534,-0.195659
361763533.00,-0.372322,-0.195760
361771696.00,-0.370018,-0.194914
361779859.00,-0.363769,-0.194117
361788023.00,-0.348724,-0.193712
361796186.00,-0.292782,-0.218840
361804349.00,-0.439112,-0.258080
361812512.00,-0.411775,-0.212220
361820676.00,-0.401085,-0.202770
361828839.00,-0.396905,-0.200528
361837002.00,-0.393180,-0.199324
361845165.00,-0.392173,-0.197381
361853329.00,-0.390575,-0.196504
361861492.00,-0.388799,-0.195647
361869655.00,-0.387684,-0.194771
361877819.00,-0.387029,-0.194424
361885982.00,-0.387074,-0.193514
361894145.00,-0.385419,-0.193949
361902308.00,-0.385957,-0.192360
361910472.00,-0.384628,-0.192153
361918635.00,-0.384742,-0.191481
361926798.00,-0.384947,-0.189939
361934961.00,-0.384120,-0.190678
361943125.00,-0.383315,-0.189559
361951288.00,-0.384420,-0.190408
361959451.00,-0.381858,-0.188777
361967614.00,-0.382857,-0.188898
361975778.00,-0.382074,-0.188247
361983941.00,-0.381811,-0.188113
361992104.00,-0.381405,-0.186621
362000268.00,-0.382285,-0.187493
