DATE: 2018/06/07
TIME: 06:38:29
Frequency(Hz),	I(V),	Q(V)
355340000.00,-0.214764,-0.293961
355348163.00,-0.214569,-0.294607
355356326.00,-0.214721,-0.294644
355364489.00,-0.214432,-0.295077
355372653.00,-0.214548,-0.294931
355380816.00,-0.215123,-0.294936
355388979.00,-0.215083,-0.295063
355397142.00,-0.215268,-0.294783
355405306.00,-0.215799,-0.295432
355413469.00,-0.214951,-0.295487
355421632.00,-0.216242,-0.295350
355429795.00,-0.216556,-0.296088
355437959.00,-0.216902,-0.296682
355446122.00,-0.217658,-0.296905
355454285.00,-0.217668,-0.295612
355462448.00,-0.217663,-0.295590
355470612.00,-0.217590,-0.296713
355478775.00,-0.218120,-0.296827
355486938.00,-0.218492,-0.296287
355495102.00,-0.219475,-0.295685
355503265.00,-0.221280,-0.296173
355511428.00,-0.222387,-0.296236
355519591.00,-0.223962,-0.295952
355527755.00,-0.227114,-0.294738
355535918.00,-0.236098,-0.290268
355544081.00,-0.231714,-0.218289
355552244.00,-0.193888,-0.296078
355560408.00,-0.206753,-0.298208
355568571.00,-0.210267,-0.299025
355576734.00,-0.212515,-0.298716
355584897.00,-0.212847,-0.300146
355593061.00,-0.215098,-0.298928
355601224.00,-0.215265,-0.299308
355609387.00,-0.215612,-0.300063
355617551.00,-0.216688,-0.299304
355625714.00,-0.217518,-0.298894
355633877.00,-0.217087,-0.300042
355642040.00,-0.217329,-0.300025
355650204.00,-0.217128,-0.299926
355658367.00,-0.217943,-0.300607
355666530.00,-0.218293,-0.300077
355674693.00,-0.217874,-0.300137
355682857.00,-0.218654,-0.299486
355691020.00,-0.219936,-0.301066
355699183.00,-0.218918,-0.300296
355707346.00,-0.219875,-0.300391
355715510.00,-0.221378,-0.301915
355723673.00,-0.220774,-0.300583
355731836.00,-0.220498,-0.301617
355740000.00,-0.219807,-0.301194
