DATE: 2018/06/07
TIME: 06:58:48
Frequency(Hz),	I(V),	Q(V)
354544858.00,-0.199754,-0.275509
354596140.00,-0.200191,-0.277105
354647422.00,-0.200456,-0.277779
354698704.00,-0.201300,-0.279065
354749986.00,-0.201948,-0.280281
354801268.00,-0.202592,-0.281284
354852550.00,-0.203269,-0.282181
354903832.00,-0.204174,-0.283520
354955114.00,-0.205014,-0.284515
355006396.00,-0.206144,-0.285511
355057678.00,-0.206997,-0.286841
355108960.00,-0.207301,-0.287755
355160242.00,-0.208061,-0.288853
355211524.00,-0.208648,-0.289440
355262806.00,-0.209749,-0.290805
355314088.00,-0.211176,-0.291223
355365370.00,-0.212600,-0.292378
355416652.00,-0.213890,-0.292969
355467934.00,-0.215949,-0.293624
355519216.00,-0.221405,-0.293530
355570499.00,-0.208239,-0.296456
355621781.00,-0.213974,-0.297061
355673063.00,-0.215811,-0.297845
355724345.00,-0.217701,-0.298547
355775627.00,-0.218981,-0.298730
355826909.00,-0.220419,-0.299768
355878191.00,-0.221209,-0.300567
355929473.00,-0.222425,-0.301980
355980755.00,-0.223995,-0.302258
356032037.00,-0.224778,-0.302814
356083319.00,-0.226094,-0.303451
356134601.00,-0.227245,-0.304116
356185883.00,-0.228974,-0.304654
356237165.00,-0.230281,-0.305592
356288447.00,-0.231322,-0.306102
356339729.00,-0.233200,-0.306271
356391011.00,-0.234193,-0.306799
356442293.00,-0.235491,-0.307494
356493575.00,-0.237337,-0.307941
356544858.00,-0.238687,-0.308596
