DATE: 2018/06/07
TIME: 06:41:08
Frequency(Hz),	I(V),	Q(V)
360800452.00,-0.331583,-0.253253
360851734.00,-0.331458,-0.251521
360903016.00,-0.331804,-0.249994
360954298.00,-0.331637,-0.248620
361005580.00,-0.331997,-0.247371
361056862.00,-0.332003,-0.245472
361108144.00,-0.332063,-0.243370
361159426.00,-0.331666,-0.241840
361210708.00,-0.331957,-0.240270
361261990.00,-0.331541,-0.238842
361313272.00,-0.331236,-0.237993
361364554.00,-0.330897,-0.236435
361415836.00,-0.331041,-0.234046
361467118.00,-0.330670,-0.232720
361518400.00,-0.330464,-0.231144
361569682.00,-0.329782,-0.229753
361620964.00,-0.328849,-0.228472
361672246.00,-0.328271,-0.227378
361723528.00,-0.326423,-0.224893
361774810.00,-0.320457,-0.222823
361826093.00,-0.336036,-0.226256
361877375.00,-0.330547,-0.221837
361928657.00,-0.328752,-0.220750
361979939.00,-0.327767,-0.218985
362031221.00,-0.326625,-0.217526
362082503.00,-0.325590,-0.216627
362133785.00,-0.325466,-0.214636
362185067.00,-0.324565,-0.213558
362236349.00,-0.323767,-0.212274
362287631.00,-0.322649,-0.210669
362338913.00,-0.321404,-0.209225
362390195.00,-0.320855,-0.208288
362441477.00,-0.319716,-0.207002
362492759.00,-0.318677,-0.205849
362544041.00,-0.318437,-0.204192
362595323.00,-0.316725,-0.203203
362646605.00,-0.316158,-0.202196
362697887.00,-0.314953,-0.201184
362749169.00,-0.313892,-0.200011
362800452.00,-0.312838,-0.199001
