DATE: 2018/06/07
TIME: 07:15:23
Frequency(Hz),	I(V),	Q(V)
342195363.00,-0.244636,-0.327611
342195463.00,-0.245105,-0.327839
342195564.00,-0.245122,-0.327082
342195664.00,-0.245378,-0.327292
342195765.00,-0.245395,-0.327122
342195865.00,-0.245601,-0.326635
342195966.00,-0.245561,-0.326676
342196066.00,-0.245887,-0.326530
342196167.00,-0.245393,-0.326476
342196267.00,-0.245465,-0.325762
342196368.00,-0.245624,-0.325645
342196468.00,-0.245663,-0.325154
342196569.00,-0.245928,-0.325398
342196669.00,-0.246025,-0.324968
342196770.00,-0.246326,-0.324879
342196870.00,-0.246513,-0.324422
342196971.00,-0.246285,-0.324030
342197071.00,-0.246588,-0.323882
342197172.00,-0.247129,-0.323252
342197272.00,-0.247497,-0.322929
342197373.00,-0.247502,-0.323163
342197473.00,-0.247765,-0.322758
342197574.00,-0.247854,-0.322337
342197674.00,-0.247798,-0.322115
342197775.00,-0.248270,-0.322118
342197875.00,-0.248210,-0.321181
342197976.00,-0.248267,-0.321163
342198076.00,-0.248243,-0.320999
342198177.00,-0.248898,-0.320085
342198277.00,-0.248608,-0.319862
342198378.00,-0.248617,-0.319470
342198478.00,-0.249029,-0.319399
342198579.00,-0.249455,-0.318818
342198679.00,-0.249356,-0.318173
342198780.00,-0.249620,-0.318000
342198880.00,-0.249579,-0.317314
342198981.00,-0.249855,-0.316866
342199081.00,-0.249648,-0.316677
342199182.00,-0.249930,-0.315998
342199282.00,-0.250413,-0.315528
342199383.00,-0.250181,-0.315072
342199483.00,-0.250596,-0.314534
342199584.00,-0.250174,-0.314191
342199684.00,-0.250248,-0.313646
342199785.00,-0.250501,-0.313299
342199885.00,-0.250578,-0.312488
342199986.00,-0.250565,-0.311866
342200086.00,-0.251080,-0.311658
342200187.00,-0.251120,-0.310852
342200287.00,-0.251419,-0.310204
342200388.00,-0.251742,-0.309813
342200488.00,-0.252062,-0.308929
342200589.00,-0.252248,-0.308189
342200689.00,-0.252521,-0.307423
342200790.00,-0.252176,-0.306882
342200890.00,-0.252610,-0.306254
342200991.00,-0.252916,-0.304871
342201091.00,-0.252697,-0.304530
342201192.00,-0.253003,-0.303572
342201292.00,-0.253171,-0.303205
342201393.00,-0.253084,-0.302030
342201493.00,-0.253607,-0.301133
342201594.00,-0.253512,-0.300528
342201694.00,-0.253888,-0.299398
