DATE: 2018/06/07
TIME: 06:37:09
Frequency(Hz),	I(V),	Q(V)
342154081.00,-0.245311,-0.300275
342156645.00,-0.245200,-0.299749
342159209.00,-0.245254,-0.299720
342161773.00,-0.245402,-0.299413
342164337.00,-0.245718,-0.299193
342166901.00,-0.245649,-0.299446
342169465.00,-0.246345,-0.299231
342172029.00,-0.246274,-0.298248
342174593.00,-0.246358,-0.298317
342177157.00,-0.246992,-0.298230
342179722.00,-0.247195,-0.297761
342182286.00,-0.247799,-0.297086
342184850.00,-0.248412,-0.296171
342187414.00,-0.249127,-0.295449
342189978.00,-0.250054,-0.294411
342192542.00,-0.251022,-0.292526
342195106.00,-0.251922,-0.289812
342197670.00,-0.253493,-0.286753
342200234.00,-0.255449,-0.280471
342202798.00,-0.256446,-0.268712
342205363.00,-0.244644,-0.240604
342207927.00,-0.165228,-0.259651
342210491.00,-0.193917,-0.313388
342213055.00,-0.215433,-0.315443
342215619.00,-0.224916,-0.313603
342218183.00,-0.229897,-0.311445
342220747.00,-0.232625,-0.310219
342223311.00,-0.234577,-0.309392
342225875.00,-0.236030,-0.308678
342228439.00,-0.237336,-0.307974
342231004.00,-0.238130,-0.307461
342233568.00,-0.238639,-0.307041
342236132.00,-0.239041,-0.306588
342238696.00,-0.240082,-0.306252
342241260.00,-0.240255,-0.305956
342243824.00,-0.240683,-0.305822
342246388.00,-0.241133,-0.305694
342248952.00,-0.241217,-0.305625
342251516.00,-0.241485,-0.305423
342254081.00,-0.241659,-0.305253
