DATE: 2018/06/07
TIME: 06:54:10
Frequency(Hz),	I(V),	Q(V)
331627927.00,-0.297206,-0.250226
331628027.00,-0.297083,-0.250503
331628128.00,-0.296796,-0.250396
331628228.00,-0.296788,-0.250559
331628329.00,-0.297098,-0.250699
331628429.00,-0.296620,-0.250842
331628530.00,-0.296251,-0.250286
331628630.00,-0.296489,-0.250412
331628731.00,-0.296600,-0.250906
331628831.00,-0.296188,-0.250392
331628932.00,-0.296732,-0.250442
331629032.00,-0.296461,-0.250334
331629133.00,-0.296063,-0.250459
331629233.00,-0.296093,-0.250340
331629334.00,-0.295881,-0.250281
331629434.00,-0.295973,-0.250455
331629535.00,-0.295776,-0.250227
331629635.00,-0.295586,-0.250171
331629736.00,-0.295590,-0.249907
331629836.00,-0.295305,-0.250230
331629937.00,-0.295530,-0.250612
331630037.00,-0.295117,-0.250196
331630138.00,-0.294876,-0.249666
331630238.00,-0.294789,-0.250040
331630339.00,-0.294497,-0.249933
331630439.00,-0.294738,-0.250072
331630540.00,-0.294572,-0.249580
331630640.00,-0.294448,-0.249487
331630741.00,-0.294285,-0.250045
331630841.00,-0.293818,-0.249911
331630942.00,-0.293709,-0.250044
331631042.00,-0.293088,-0.249804
331631143.00,-0.293030,-0.249773
331631243.00,-0.292817,-0.249912
331631344.00,-0.292492,-0.249855
331631444.00,-0.292422,-0.249856
331631545.00,-0.292657,-0.249450
331631645.00,-0.292651,-0.249389
331631746.00,-0.292095,-0.249198
331631846.00,-0.292168,-0.249397
331631947.00,-0.291530,-0.249636
331632047.00,-0.291355,-0.249314
331632148.00,-0.291287,-0.249645
331632248.00,-0.291278,-0.249355
331632349.00,-0.291109,-0.249359
331632449.00,-0.290606,-0.249443
331632550.00,-0.290568,-0.249126
331632650.00,-0.290531,-0.249274
331632751.00,-0.290043,-0.249134
331632851.00,-0.289902,-0.249032
331632952.00,-0.289343,-0.249250
331633052.00,-0.289566,-0.248833
331633153.00,-0.289205,-0.248891
331633253.00,-0.289205,-0.249009
331633354.00,-0.288806,-0.249215
331633454.00,-0.288937,-0.249590
331633555.00,-0.288110,-0.249388
331633655.00,-0.287700,-0.249646
331633756.00,-0.287160,-0.249814
331633856.00,-0.286956,-0.249446
331633957.00,-0.286803,-0.249526
331634057.00,-0.286545,-0.249317
331634158.00,-0.285917,-0.249388
331634258.00,-0.285905,-0.249152
331634359.00,-0.285476,-0.249456
331634459.00,-0.285361,-0.248886
331634560.00,-0.285111,-0.249348
331634660.00,-0.284372,-0.249256
331634761.00,-0.284453,-0.248715
331634861.00,-0.283812,-0.248887
331634962.00,-0.283657,-0.249301
331635062.00,-0.283316,-0.249114
331635163.00,-0.283167,-0.249125
331635263.00,-0.282476,-0.249268
331635364.00,-0.282634,-0.249229
331635464.00,-0.282188,-0.249124
331635565.00,-0.281126,-0.248959
331635665.00,-0.280783,-0.249366
331635766.00,-0.280302,-0.249323
331635866.00,-0.279744,-0.249471
331635967.00,-0.278890,-0.249046
331636067.00,-0.278856,-0.249401
331636168.00,-0.278046,-0.249280
331636268.00,-0.277565,-0.249861
331636369.00,-0.277066,-0.249639
331636469.00,-0.276771,-0.250016
331636570.00,-0.275922,-0.249937
331636670.00,-0.275784,-0.250171
331636771.00,-0.275214,-0.250017
331636871.00,-0.274093,-0.250252
331636972.00,-0.273674,-0.250343
331637072.00,-0.273051,-0.250628
331637173.00,-0.272354,-0.250469
331637273.00,-0.271148,-0.250792
331637374.00,-0.270447,-0.250933
331637474.00,-0.269502,-0.251256
331637575.00,-0.268744,-0.251474
331637675.00,-0.267957,-0.251870
331637776.00,-0.267234,-0.251923
331637876.00,-0.266344,-0.252662
331637977.00,-0.265380,-0.253218
331638077.00,-0.264173,-0.253329
331638178.00,-0.263534,-0.254423
331638278.00,-0.262219,-0.254753
331638379.00,-0.261086,-0.255425
331638479.00,-0.260341,-0.256094
331638580.00,-0.259069,-0.256871
331638680.00,-0.258272,-0.257410
331638781.00,-0.257264,-0.258296
331638881.00,-0.255651,-0.259358
331638982.00,-0.254182,-0.260245
331639082.00,-0.253543,-0.261150
331639183.00,-0.252163,-0.262446
331639283.00,-0.250052,-0.263564
331639384.00,-0.249165,-0.265149
331639484.00,-0.248257,-0.266436
331639585.00,-0.246280,-0.268819
331639685.00,-0.245359,-0.270559
331639786.00,-0.244182,-0.272493
331639886.00,-0.243132,-0.274921
331639987.00,-0.241821,-0.277640
331640087.00,-0.241148,-0.280048
331640188.00,-0.240188,-0.282857
331640288.00,-0.239237,-0.285412
331640389.00,-0.238781,-0.288503
331640489.00,-0.238648,-0.292029
331640590.00,-0.237990,-0.295927
331640690.00,-0.239032,-0.299272
331640791.00,-0.239285,-0.302840
331640891.00,-0.240582,-0.307214
331640992.00,-0.241869,-0.310921
331641092.00,-0.243053,-0.313629
331641193.00,-0.246022,-0.318344
331641293.00,-0.248322,-0.321860
331641394.00,-0.251178,-0.324402
331641494.00,-0.254818,-0.327470
331641595.00,-0.258510,-0.330189
331641695.00,-0.262785,-0.332053
331641796.00,-0.266811,-0.333676
331641896.00,-0.271620,-0.334476
331641997.00,-0.276411,-0.335898
331642097.00,-0.279843,-0.335931
331642198.00,-0.284103,-0.335426
331642298.00,-0.288885,-0.335423
331642399.00,-0.292911,-0.334316
331642499.00,-0.296307,-0.333219
331642600.00,-0.299618,-0.332130
331642700.00,-0.302797,-0.330865
331642801.00,-0.305503,-0.328764
331642901.00,-0.308624,-0.327453
331643002.00,-0.311314,-0.325280
331643102.00,-0.313495,-0.323757
331643203.00,-0.315452,-0.322110
331643303.00,-0.317157,-0.320162
331643404.00,-0.318754,-0.318255
331643504.00,-0.320339,-0.316127
331643605.00,-0.321677,-0.314031
331643705.00,-0.322872,-0.312384
331643806.00,-0.323765,-0.310653
331643906.00,-0.324697,-0.308891
331644007.00,-0.325429,-0.307199
331644107.00,-0.325774,-0.305634
331644208.00,-0.326469,-0.303813
331644308.00,-0.326771,-0.302167
331644409.00,-0.327520,-0.300913
331644509.00,-0.328224,-0.299414
331644610.00,-0.328550,-0.298083
331644710.00,-0.328835,-0.296598
331644811.00,-0.328475,-0.295509
331644911.00,-0.328505,-0.293989
331645012.00,-0.328448,-0.292802
331645112.00,-0.328808,-0.292088
331645213.00,-0.328746,-0.291165
331645313.00,-0.328630,-0.289653
331645414.00,-0.328811,-0.289277
331645514.00,-0.328543,-0.288373
331645615.00,-0.328334,-0.287460
331645715.00,-0.328342,-0.287009
331645816.00,-0.328367,-0.286061
331645916.00,-0.327958,-0.285401
331646017.00,-0.328098,-0.284432
331646117.00,-0.327612,-0.284101
331646218.00,-0.327067,-0.283150
331646318.00,-0.327199,-0.282625
331646419.00,-0.327058,-0.282012
331646519.00,-0.327016,-0.281117
331646620.00,-0.326711,-0.280314
331646720.00,-0.326798,-0.279777
331646821.00,-0.326549,-0.279219
331646921.00,-0.326519,-0.278870
331647022.00,-0.326590,-0.278648
331647122.00,-0.326495,-0.278222
331647223.00,-0.326282,-0.277544
331647323.00,-0.325843,-0.277065
331647424.00,-0.325456,-0.276586
331647524.00,-0.325731,-0.276199
331647625.00,-0.325393,-0.275851
