DATE: 2018/06/07
TIME: 06:49:39
Frequency(Hz),	I(V),	Q(V)
330640992.00,-0.353274,-0.297575
330692274.00,-0.354672,-0.295828
330743556.00,-0.355747,-0.293581
330794838.00,-0.356804,-0.291251
330846120.00,-0.357606,-0.288840
330897402.00,-0.358448,-0.286939
330948684.00,-0.359132,-0.284445
330999966.00,-0.359566,-0.281884
331051248.00,-0.360517,-0.279583
331102530.00,-0.361035,-0.277311
331153812.00,-0.361902,-0.274583
331205094.00,-0.361959,-0.272357
331256376.00,-0.362467,-0.269796
331307658.00,-0.363261,-0.267373
331358940.00,-0.362817,-0.264717
331410222.00,-0.363060,-0.262237
331461504.00,-0.362781,-0.259575
331512786.00,-0.362502,-0.256723
331564068.00,-0.360710,-0.253941
331615350.00,-0.353484,-0.247826
331666633.00,-0.375970,-0.259401
331717915.00,-0.368823,-0.251301
331769197.00,-0.367516,-0.247759
331820479.00,-0.367051,-0.244627
331871761.00,-0.366226,-0.242010
331923043.00,-0.366161,-0.239531
331974325.00,-0.365426,-0.237219
332025607.00,-0.365054,-0.235047
332076889.00,-0.364566,-0.232792
332128171.00,-0.364299,-0.230861
332179453.00,-0.363589,-0.228325
332230735.00,-0.362638,-0.225945
332282017.00,-0.362053,-0.223403
332333299.00,-0.361489,-0.221015
332384581.00,-0.360936,-0.218391
332435863.00,-0.359842,-0.216349
332487145.00,-0.358767,-0.214264
332538427.00,-0.357880,-0.212409
332589709.00,-0.357002,-0.210025
332640992.00,-0.355677,-0.207788
