DATE: 2018/06/07
TIME: 06:58:56
Frequency(Hz),	I(V),	Q(V)
361599574.00,-0.327616,-0.226980
361607737.00,-0.328113,-0.227352
361615900.00,-0.326439,-0.226874
361624063.00,-0.327562,-0.227082
361632227.00,-0.326586,-0.226487
361640390.00,-0.326799,-0.225806
361648553.00,-0.326823,-0.226255
361656716.00,-0.326032,-0.226295
361664880.00,-0.327000,-0.225406
361673043.00,-0.326249,-0.224264
361681206.00,-0.327113,-0.223967
361689369.00,-0.325510,-0.223832
361697533.00,-0.324541,-0.223706
361705696.00,-0.325689,-0.223827
361713859.00,-0.326475,-0.224003
361722022.00,-0.323997,-0.222806
361730186.00,-0.324406,-0.223086
361738349.00,-0.323663,-0.222427
361746512.00,-0.323008,-0.222727
361754676.00,-0.322465,-0.221559
361762839.00,-0.321517,-0.221475
361771002.00,-0.319463,-0.221235
361779165.00,-0.315622,-0.221032
361787329.00,-0.309362,-0.220724
361795492.00,-0.284353,-0.229621
361803655.00,-0.354859,-0.260103
361811818.00,-0.341788,-0.230071
361819982.00,-0.335704,-0.224858
361828145.00,-0.333137,-0.223502
361836308.00,-0.331977,-0.222844
361844471.00,-0.330409,-0.222010
361852635.00,-0.329631,-0.221571
361860798.00,-0.328682,-0.220490
361868961.00,-0.327680,-0.220390
361877125.00,-0.327778,-0.220796
361885288.00,-0.328687,-0.219802
361893451.00,-0.327118,-0.220418
361901614.00,-0.327213,-0.219351
361909778.00,-0.326804,-0.219066
361917941.00,-0.327211,-0.218679
361926104.00,-0.327005,-0.219350
361934267.00,-0.326373,-0.218475
361942431.00,-0.326818,-0.217871
361950594.00,-0.326596,-0.218070
361958757.00,-0.326227,-0.217485
361966920.00,-0.326132,-0.217046
361975084.00,-0.324798,-0.217215
361983247.00,-0.325034,-0.216859
361991410.00,-0.325726,-0.216751
361999574.00,-0.325951,-0.215790
