DATE: 2018/06/07
TIME: 06:44:50
Frequency(Hz),	I(V),	Q(V)
355340000.00,-0.235686,-0.273671
355348163.00,-0.236285,-0.272943
355356326.00,-0.236090,-0.274179
355364489.00,-0.237240,-0.273418
355372653.00,-0.237500,-0.273080
355380816.00,-0.236361,-0.273658
355388979.00,-0.237213,-0.274570
355397142.00,-0.238813,-0.273976
355405306.00,-0.237795,-0.273971
355413469.00,-0.237927,-0.274511
355421632.00,-0.238492,-0.275221
355429795.00,-0.238023,-0.274150
355437959.00,-0.238368,-0.274975
355446122.00,-0.238856,-0.274254
355454285.00,-0.238220,-0.275331
355462448.00,-0.238420,-0.274006
355470612.00,-0.238798,-0.273980
355478775.00,-0.239577,-0.274053
355486938.00,-0.240036,-0.274755
355495102.00,-0.240345,-0.274610
355503265.00,-0.239870,-0.274842
355511428.00,-0.241463,-0.274243
355519591.00,-0.242301,-0.274457
355527755.00,-0.243508,-0.273855
355535918.00,-0.247140,-0.271424
355544081.00,-0.243563,-0.236124
355552244.00,-0.227767,-0.273856
355560408.00,-0.232404,-0.275063
355568571.00,-0.234604,-0.276014
355576734.00,-0.236222,-0.276365
355584897.00,-0.236828,-0.276454
355593061.00,-0.237061,-0.276972
355601224.00,-0.237121,-0.276278
355609387.00,-0.238368,-0.276573
355617551.00,-0.238318,-0.275804
355625714.00,-0.238186,-0.277196
355633877.00,-0.238852,-0.277229
355642040.00,-0.238808,-0.277171
355650204.00,-0.237915,-0.276375
355658367.00,-0.238943,-0.276583
355666530.00,-0.239559,-0.277159
355674693.00,-0.239891,-0.276961
355682857.00,-0.239823,-0.276744
355691020.00,-0.239863,-0.276790
355699183.00,-0.240195,-0.277667
355707346.00,-0.239783,-0.277395
355715510.00,-0.239443,-0.276418
355723673.00,-0.239960,-0.277010
355731836.00,-0.240774,-0.277187
355740000.00,-0.240315,-0.278129
