DATE: 2018/06/07
TIME: 06:52:35
Frequency(Hz),	I(V),	Q(V)
361598807.00,-0.386626,-0.208324
361606970.00,-0.386463,-0.207892
361615133.00,-0.386695,-0.207116
361623296.00,-0.386162,-0.208621
361631460.00,-0.385862,-0.206368
361639623.00,-0.385243,-0.205590
361647786.00,-0.384555,-0.206740
361655949.00,-0.384929,-0.205614
361664113.00,-0.383821,-0.204862
361672276.00,-0.383845,-0.203998
361680439.00,-0.383368,-0.203425
361688602.00,-0.383782,-0.203257
361696766.00,-0.381984,-0.203019
361704929.00,-0.382530,-0.201831
361713092.00,-0.381370,-0.201035
361721255.00,-0.381074,-0.200992
361729419.00,-0.379572,-0.200486
361737582.00,-0.379285,-0.200866
361745745.00,-0.378146,-0.199195
361753909.00,-0.376675,-0.198388
361762072.00,-0.373746,-0.197486
361770235.00,-0.371751,-0.196264
361778398.00,-0.366126,-0.194953
361786562.00,-0.353791,-0.194023
361794725.00,-0.312868,-0.207504
361802888.00,-0.441282,-0.291227
361811051.00,-0.415846,-0.216166
361819215.00,-0.403780,-0.205795
361827378.00,-0.398379,-0.203307
361835541.00,-0.394796,-0.201253
361843704.00,-0.392671,-0.200060
361851868.00,-0.391730,-0.198259
361860031.00,-0.390125,-0.197985
361868194.00,-0.389223,-0.196923
361876358.00,-0.389059,-0.196206
361884521.00,-0.387343,-0.195145
361892684.00,-0.387077,-0.194684
361900847.00,-0.386761,-0.195038
361909011.00,-0.386801,-0.193635
361917174.00,-0.385108,-0.193308
361925337.00,-0.385118,-0.192876
361933500.00,-0.385541,-0.192430
361941664.00,-0.384377,-0.191698
361949827.00,-0.384647,-0.191710
361957990.00,-0.385234,-0.191771
361966153.00,-0.383458,-0.191099
361974317.00,-0.384162,-0.190287
361982480.00,-0.383747,-0.189389
361990643.00,-0.383869,-0.189222
361998807.00,-0.383210,-0.188469
