DATE: 2018/06/07
TIME: 07:22:57
Frequency(Hz),	I(V),	Q(V)
355340000.00,-0.210406,-0.291227
355348163.00,-0.211073,-0.290146
355356326.00,-0.210812,-0.290721
355364489.00,-0.211788,-0.291177
355372653.00,-0.211895,-0.290260
355380816.00,-0.211079,-0.290954
355388979.00,-0.212644,-0.292045
355397142.00,-0.212887,-0.291844
355405306.00,-0.212918,-0.291659
355413469.00,-0.213184,-0.291583
355421632.00,-0.212956,-0.291522
355429795.00,-0.213917,-0.292079
355437959.00,-0.213822,-0.292332
355446122.00,-0.213810,-0.292828
355454285.00,-0.214136,-0.292870
355462448.00,-0.215011,-0.293196
355470612.00,-0.214991,-0.292849
355478775.00,-0.215676,-0.292440
355486938.00,-0.215703,-0.292912
355495102.00,-0.217200,-0.292601
355503265.00,-0.218101,-0.293407
355511428.00,-0.218483,-0.292765
355519591.00,-0.220666,-0.292519
355527755.00,-0.224497,-0.291001
355535918.00,-0.233444,-0.286859
355544081.00,-0.229104,-0.214642
355552244.00,-0.191574,-0.290956
355560408.00,-0.202529,-0.294676
355568571.00,-0.207080,-0.295234
355576734.00,-0.208999,-0.295467
355584897.00,-0.209866,-0.295762
355593061.00,-0.211423,-0.295395
355601224.00,-0.211308,-0.295678
355609387.00,-0.212151,-0.296242
355617551.00,-0.213068,-0.295822
355625714.00,-0.213224,-0.295888
355633877.00,-0.213470,-0.295743
355642040.00,-0.214966,-0.296112
355650204.00,-0.214898,-0.296539
355658367.00,-0.215625,-0.297061
355666530.00,-0.215658,-0.297759
355674693.00,-0.214687,-0.297166
355682857.00,-0.216132,-0.297188
355691020.00,-0.215370,-0.296874
355699183.00,-0.216092,-0.296342
355707346.00,-0.215375,-0.295382
355715510.00,-0.216604,-0.297120
355723673.00,-0.216562,-0.297428
355731836.00,-0.217086,-0.297399
355740000.00,-0.216335,-0.298485
