DATE: 2018/06/07
TIME: 07:10:26
Frequency(Hz),	I(V),	Q(V)
355550385.00,-0.184656,-0.288853
355550486.00,-0.185136,-0.289317
355550586.00,-0.185537,-0.289616
355550687.00,-0.186009,-0.289793
355550787.00,-0.186151,-0.289767
355550888.00,-0.186655,-0.290240
355550988.00,-0.187112,-0.289838
355551089.00,-0.187130,-0.289853
355551189.00,-0.187523,-0.290190
355551290.00,-0.187931,-0.290458
355551390.00,-0.188648,-0.290760
355551491.00,-0.188787,-0.290459
355551591.00,-0.189176,-0.291054
355551692.00,-0.188813,-0.291288
355551792.00,-0.189256,-0.291041
355551893.00,-0.189594,-0.291562
355551993.00,-0.189903,-0.291259
355552094.00,-0.190401,-0.291583
355552194.00,-0.190151,-0.291696
355552295.00,-0.190776,-0.291571
355552395.00,-0.190878,-0.291622
355552496.00,-0.191157,-0.291758
355552596.00,-0.191796,-0.291778
355552697.00,-0.191783,-0.291509
355552798.00,-0.191857,-0.291870
