DATE: 2018/06/07
TIME: 07:03:53
Frequency(Hz),	I(V),	Q(V)
355340000.00,-0.168012,-0.329531
355348163.00,-0.168420,-0.329391
355356326.00,-0.167641,-0.330506
355364489.00,-0.168102,-0.330390
355372653.00,-0.168054,-0.329915
355380816.00,-0.169593,-0.330753
355388979.00,-0.168694,-0.330482
355397142.00,-0.170215,-0.331123
355405306.00,-0.170321,-0.331542
355413469.00,-0.170137,-0.330840
355421632.00,-0.172177,-0.331068
355429795.00,-0.171470,-0.333195
355437959.00,-0.172836,-0.332375
355446122.00,-0.173210,-0.332489
355454285.00,-0.173203,-0.332979
355462448.00,-0.174779,-0.333952
355470612.00,-0.175585,-0.333835
355478775.00,-0.175942,-0.333720
355486938.00,-0.177728,-0.332103
355495102.00,-0.177972,-0.332847
355503265.00,-0.180884,-0.333302
355511428.00,-0.182471,-0.333738
355519591.00,-0.186296,-0.332538
355527755.00,-0.193574,-0.330021
355535918.00,-0.209803,-0.321330
355544081.00,-0.177566,-0.168297
355552244.00,-0.128278,-0.331458
355560408.00,-0.150946,-0.337542
355568571.00,-0.159146,-0.338522
355576734.00,-0.162566,-0.339290
355584897.00,-0.166093,-0.340178
355593061.00,-0.168157,-0.338958
355601224.00,-0.169156,-0.340455
355609387.00,-0.170954,-0.339887
355617551.00,-0.171885,-0.339613
355625714.00,-0.172275,-0.339509
355633877.00,-0.173234,-0.340110
355642040.00,-0.174317,-0.340418
355650204.00,-0.174893,-0.340676
355658367.00,-0.175375,-0.340022
355666530.00,-0.176795,-0.341396
355674693.00,-0.175493,-0.341113
355682857.00,-0.176318,-0.342091
355691020.00,-0.176861,-0.341739
355699183.00,-0.177007,-0.341909
355707346.00,-0.177676,-0.342107
355715510.00,-0.178834,-0.342916
355723673.00,-0.179050,-0.343022
355731836.00,-0.178213,-0.343758
355740000.00,-0.178884,-0.343539
