DATE: 2018/06/07
TIME: 06:57:37
Frequency(Hz),	I(V),	Q(V)
355494081.00,-0.217008,-0.294042
355496645.00,-0.217281,-0.294246
355499209.00,-0.218178,-0.293886
355501773.00,-0.217467,-0.294196
355504337.00,-0.218169,-0.294372
355506901.00,-0.218494,-0.294593
355509465.00,-0.218951,-0.294203
355512029.00,-0.219245,-0.293941
355514593.00,-0.219976,-0.294039
355517157.00,-0.220195,-0.293934
355519722.00,-0.221056,-0.293830
355522286.00,-0.221797,-0.293583
355524850.00,-0.223397,-0.293159
355527414.00,-0.224406,-0.292331
355529978.00,-0.226215,-0.291958
355532542.00,-0.228643,-0.290469
355535106.00,-0.231698,-0.288711
355537670.00,-0.236942,-0.285090
355540234.00,-0.245451,-0.275238
355542798.00,-0.251779,-0.244200
355545363.00,-0.180683,-0.222608
355547927.00,-0.172092,-0.277033
355550491.00,-0.186027,-0.289665
355553055.00,-0.193710,-0.293391
355555619.00,-0.198733,-0.295016
355558183.00,-0.201250,-0.295688
355560747.00,-0.202882,-0.296223
355563311.00,-0.204453,-0.296633
355565875.00,-0.205608,-0.296289
355568439.00,-0.207197,-0.295905
355571004.00,-0.207615,-0.296684
355573568.00,-0.208806,-0.296778
355576132.00,-0.209456,-0.296900
355578696.00,-0.209959,-0.296260
355581260.00,-0.210394,-0.296294
355583824.00,-0.210591,-0.296709
355586388.00,-0.210921,-0.296545
355588952.00,-0.211002,-0.296476
355591516.00,-0.211374,-0.296606
355594081.00,-0.212304,-0.296493
