DATE: 2018/06/07
TIME: 06:43:37
Frequency(Hz),	I(V),	Q(V)
342192798.00,-0.250881,-0.267195
342192898.00,-0.251238,-0.267033
342192999.00,-0.251567,-0.266971
342193099.00,-0.251416,-0.266783
342193200.00,-0.251523,-0.267178
342193300.00,-0.252063,-0.267118
342193401.00,-0.251774,-0.266509
342193501.00,-0.251950,-0.267015
342193602.00,-0.252005,-0.266931
342193702.00,-0.251481,-0.266557
342193803.00,-0.251925,-0.266342
342193903.00,-0.252074,-0.266472
342194004.00,-0.252083,-0.266231
342194104.00,-0.251948,-0.266322
342194205.00,-0.251778,-0.266080
342194305.00,-0.252138,-0.265903
342194406.00,-0.252544,-0.266277
342194506.00,-0.252334,-0.266106
342194607.00,-0.252123,-0.266056
342194707.00,-0.252324,-0.266098
342194808.00,-0.252485,-0.266265
342194908.00,-0.252464,-0.266070
342195009.00,-0.252239,-0.266234
342195109.00,-0.252582,-0.266305
342195210.00,-0.252164,-0.265696
342195310.00,-0.252535,-0.265779
342195411.00,-0.252027,-0.265546
342195511.00,-0.252627,-0.265241
342195612.00,-0.252464,-0.265188
342195712.00,-0.252443,-0.265490
342195813.00,-0.252365,-0.265490
342195913.00,-0.252519,-0.265204
342196014.00,-0.252802,-0.265706
342196114.00,-0.252137,-0.265941
342196215.00,-0.252452,-0.265333
342196315.00,-0.252192,-0.265071
342196416.00,-0.252494,-0.265216
342196516.00,-0.252383,-0.265345
342196617.00,-0.252552,-0.265171
342196717.00,-0.252125,-0.264977
342196818.00,-0.252542,-0.264575
342196918.00,-0.252578,-0.265225
342197019.00,-0.252395,-0.265107
342197119.00,-0.252268,-0.264973
342197220.00,-0.252993,-0.264405
342197320.00,-0.252750,-0.264438
342197421.00,-0.253235,-0.264511
342197521.00,-0.252661,-0.264307
342197622.00,-0.253261,-0.264074
342197722.00,-0.252585,-0.263984
342197823.00,-0.253100,-0.263799
342197923.00,-0.252906,-0.263525
342198024.00,-0.252721,-0.263883
342198124.00,-0.253100,-0.264238
342198225.00,-0.253356,-0.263700
342198325.00,-0.253160,-0.263728
342198426.00,-0.253158,-0.263899
342198526.00,-0.253293,-0.263379
342198627.00,-0.253268,-0.263303
342198727.00,-0.253609,-0.262884
342198828.00,-0.253620,-0.263535
342198928.00,-0.253563,-0.263167
342199029.00,-0.253834,-0.262753
342199129.00,-0.253705,-0.262240
342199230.00,-0.253500,-0.262786
342199330.00,-0.253263,-0.262435
342199431.00,-0.253550,-0.262432
342199531.00,-0.253495,-0.261798
342199632.00,-0.253540,-0.261717
342199732.00,-0.253336,-0.261812
342199833.00,-0.253533,-0.261454
342199933.00,-0.253797,-0.261253
342200034.00,-0.253672,-0.261352
342200134.00,-0.253803,-0.261293
342200235.00,-0.254021,-0.261286
342200335.00,-0.253746,-0.261224
342200436.00,-0.254236,-0.260955
342200536.00,-0.254311,-0.261085
342200637.00,-0.253984,-0.260453
342200737.00,-0.254248,-0.260350
342200838.00,-0.253871,-0.259931
342200938.00,-0.253722,-0.259811
342201039.00,-0.254062,-0.259668
342201139.00,-0.254147,-0.259579
342201240.00,-0.254199,-0.259181
342201340.00,-0.254363,-0.258255
342201441.00,-0.254352,-0.258895
342201541.00,-0.254316,-0.258160
342201642.00,-0.254091,-0.257852
342201742.00,-0.254052,-0.257759
342201843.00,-0.254464,-0.257493
342201943.00,-0.254591,-0.257387
342202044.00,-0.254367,-0.257396
342202144.00,-0.254552,-0.256909
342202245.00,-0.254201,-0.256740
342202345.00,-0.254336,-0.256283
342202446.00,-0.254305,-0.255816
342202546.00,-0.254810,-0.255500
342202647.00,-0.255192,-0.255563
342202747.00,-0.254477,-0.255049
342202848.00,-0.254531,-0.254637
342202948.00,-0.254325,-0.254606
342203049.00,-0.254356,-0.254393
342203149.00,-0.254188,-0.253684
342203250.00,-0.254238,-0.253122
342203350.00,-0.253716,-0.252748
342203451.00,-0.254228,-0.252326
342203551.00,-0.253928,-0.251505
342203652.00,-0.253680,-0.251313
342203752.00,-0.253664,-0.250565
342203853.00,-0.253269,-0.250396
342203953.00,-0.252908,-0.250257
342204054.00,-0.252853,-0.249673
342204154.00,-0.252843,-0.248685
342204255.00,-0.252514,-0.248307
342204355.00,-0.252612,-0.247932
342204456.00,-0.252472,-0.246254
342204556.00,-0.251995,-0.246278
342204657.00,-0.251540,-0.245368
342204757.00,-0.251044,-0.244619
342204858.00,-0.250416,-0.243581
342204958.00,-0.249912,-0.243549
342205059.00,-0.249280,-0.242855
342205159.00,-0.249023,-0.241833
342205260.00,-0.248287,-0.241322
342205360.00,-0.247679,-0.240494
342205461.00,-0.246584,-0.239965
342205561.00,-0.245679,-0.239059
342205662.00,-0.245165,-0.238546
342205762.00,-0.243738,-0.237893
342205863.00,-0.242814,-0.236799
342205963.00,-0.241960,-0.236596
342206064.00,-0.240184,-0.235908
342206164.00,-0.238983,-0.235279
342206265.00,-0.236959,-0.234861
342206365.00,-0.235581,-0.234590
342206466.00,-0.233757,-0.234456
342206566.00,-0.232097,-0.233890
342206667.00,-0.230214,-0.234665
342206767.00,-0.228084,-0.234805
342206868.00,-0.225644,-0.235292
342206968.00,-0.223931,-0.235968
342207069.00,-0.221890,-0.237048
342207169.00,-0.219799,-0.238398
342207270.00,-0.218289,-0.239276
342207370.00,-0.216642,-0.240178
342207471.00,-0.215052,-0.241820
342207571.00,-0.213273,-0.243946
342207672.00,-0.212406,-0.245818
342207772.00,-0.211159,-0.247957
342207873.00,-0.210526,-0.249394
342207973.00,-0.209927,-0.251787
342208074.00,-0.209153,-0.253933
342208174.00,-0.208812,-0.255856
342208275.00,-0.208875,-0.257837
342208375.00,-0.209037,-0.259471
342208476.00,-0.209109,-0.261474
342208576.00,-0.209821,-0.262492
342208677.00,-0.210565,-0.264170
342208777.00,-0.211030,-0.265865
342208878.00,-0.211771,-0.266815
342208978.00,-0.212065,-0.268149
342209079.00,-0.213198,-0.269006
342209179.00,-0.213555,-0.270152
342209280.00,-0.214986,-0.271163
342209380.00,-0.215681,-0.271850
342209481.00,-0.216026,-0.272674
342209581.00,-0.217009,-0.273053
342209682.00,-0.217876,-0.273839
342209782.00,-0.218833,-0.274522
342209883.00,-0.219910,-0.274814
342209983.00,-0.220372,-0.275389
342210084.00,-0.220949,-0.275927
342210184.00,-0.221892,-0.275815
342210285.00,-0.222367,-0.276394
342210385.00,-0.222981,-0.276805
342210486.00,-0.223413,-0.276678
342210586.00,-0.224277,-0.277293
342210687.00,-0.224746,-0.277071
342210787.00,-0.225135,-0.277481
342210888.00,-0.226025,-0.277530
342210988.00,-0.226399,-0.277415
342211089.00,-0.226786,-0.277959
342211189.00,-0.227553,-0.277790
342211290.00,-0.228351,-0.278117
342211390.00,-0.228857,-0.278159
342211491.00,-0.228803,-0.278142
342211591.00,-0.229660,-0.278090
342211692.00,-0.229722,-0.277994
342211792.00,-0.230316,-0.278026
342211893.00,-0.230787,-0.277960
342211993.00,-0.231759,-0.278359
342212094.00,-0.232037,-0.278108
342212194.00,-0.232365,-0.278060
342212295.00,-0.232202,-0.278351
342212395.00,-0.232927,-0.278230
342212496.00,-0.232879,-0.278435
342212596.00,-0.232905,-0.278323
342212697.00,-0.233368,-0.277810
342212798.00,-0.233118,-0.278177
