DATE: 2018/06/07
TIME: 07:24:21
Frequency(Hz),	I(V),	Q(V)
361599528.00,-0.325930,-0.225558
361607691.00,-0.326033,-0.224850
361615854.00,-0.325603,-0.224676
361624017.00,-0.324645,-0.224971
361632181.00,-0.324487,-0.223758
361640344.00,-0.326489,-0.225458
361648507.00,-0.324849,-0.223453
361656670.00,-0.324297,-0.223764
361664834.00,-0.324277,-0.224191
361672997.00,-0.324690,-0.223270
361681160.00,-0.324814,-0.222551
361689323.00,-0.323512,-0.223366
361697487.00,-0.323409,-0.222458
361705650.00,-0.323443,-0.221665
361713813.00,-0.323291,-0.220515
361721976.00,-0.323269,-0.221430
361730140.00,-0.322394,-0.220930
361738303.00,-0.321665,-0.220171
361746466.00,-0.322218,-0.219878
361754630.00,-0.321232,-0.219989
361762793.00,-0.319047,-0.219433
361770956.00,-0.318730,-0.218884
361779119.00,-0.315350,-0.218333
361787283.00,-0.308098,-0.217395
361795446.00,-0.282718,-0.227605
361803609.00,-0.352696,-0.258370
361811772.00,-0.339136,-0.228902
361819936.00,-0.334341,-0.223584
361828099.00,-0.332170,-0.222395
361836262.00,-0.330369,-0.220787
361844425.00,-0.329509,-0.220964
361852589.00,-0.328283,-0.220550
361860752.00,-0.327595,-0.219556
361868915.00,-0.327453,-0.219527
361877079.00,-0.326813,-0.219182
361885242.00,-0.326718,-0.219192
361893405.00,-0.325798,-0.218309
361901568.00,-0.326486,-0.218758
361909732.00,-0.325270,-0.218046
361917895.00,-0.325439,-0.217371
361926058.00,-0.325613,-0.216617
361934221.00,-0.324978,-0.217234
361942385.00,-0.324927,-0.217721
361950548.00,-0.325495,-0.216997
361958711.00,-0.323460,-0.216483
361966874.00,-0.324430,-0.217065
361975038.00,-0.324145,-0.215476
361983201.00,-0.324437,-0.216235
361991364.00,-0.323766,-0.215873
361999528.00,-0.323644,-0.215152
