DATE: 2018/06/07
TIME: 07:02:22
Frequency(Hz),	I(V),	Q(V)
330640489.00,-0.352756,-0.297675
330691771.00,-0.354220,-0.295084
330743053.00,-0.354951,-0.293239
330794335.00,-0.356058,-0.290355
330845617.00,-0.356840,-0.288282
330896899.00,-0.357597,-0.285489
330948181.00,-0.358036,-0.283907
330999463.00,-0.358632,-0.281214
331050745.00,-0.359941,-0.279032
331102027.00,-0.360220,-0.276923
331153309.00,-0.360770,-0.274360
331204591.00,-0.361226,-0.272131
331255873.00,-0.361531,-0.269522
331307155.00,-0.361335,-0.266886
331358437.00,-0.362046,-0.264318
331409719.00,-0.362177,-0.261907
331461001.00,-0.362530,-0.259072
331512283.00,-0.361580,-0.256506
331563565.00,-0.360543,-0.253244
331614847.00,-0.353006,-0.247334
331666130.00,-0.375769,-0.258811
331717412.00,-0.368261,-0.250641
331768694.00,-0.366722,-0.247601
331819976.00,-0.366235,-0.244893
331871258.00,-0.365368,-0.241939
331922540.00,-0.365189,-0.239460
331973822.00,-0.364613,-0.237026
332025104.00,-0.364288,-0.234488
332076386.00,-0.364323,-0.232209
332127668.00,-0.363432,-0.229761
332178950.00,-0.363518,-0.227734
332230232.00,-0.362635,-0.225325
332281514.00,-0.362256,-0.222850
332332796.00,-0.361265,-0.220456
332384078.00,-0.360758,-0.218263
332435360.00,-0.359551,-0.216227
332486642.00,-0.359164,-0.213739
332537924.00,-0.357788,-0.211847
332589206.00,-0.356804,-0.209823
332640489.00,-0.356233,-0.207361
