DATE: 2018/06/07
TIME: 07:03:46
Frequency(Hz),	I(V),	Q(V)
341206518.00,-0.184060,-0.335776
341257800.00,-0.186068,-0.337096
341309082.00,-0.188578,-0.338447
341360364.00,-0.190442,-0.339642
341411646.00,-0.192895,-0.340900
341462928.00,-0.194902,-0.342130
341514210.00,-0.197625,-0.343115
341565492.00,-0.199612,-0.344558
341616774.00,-0.201868,-0.345371
341668056.00,-0.204750,-0.346271
341719338.00,-0.207210,-0.347216
341770620.00,-0.209423,-0.348270
341821902.00,-0.211693,-0.348958
341873184.00,-0.214476,-0.349006
341924466.00,-0.216584,-0.349644
341975748.00,-0.219508,-0.350247
342027030.00,-0.222031,-0.350220
342078312.00,-0.224857,-0.350256
342129594.00,-0.229074,-0.349804
342180876.00,-0.236768,-0.342954
342232159.00,-0.219118,-0.363320
342283441.00,-0.229309,-0.357277
342334723.00,-0.233324,-0.356497
342386005.00,-0.236451,-0.355797
342437287.00,-0.239333,-0.355860
342488569.00,-0.241821,-0.355883
342539851.00,-0.244910,-0.355634
342591133.00,-0.247716,-0.355872
342642415.00,-0.249846,-0.355875
342693697.00,-0.252474,-0.355606
342744979.00,-0.255057,-0.355768
342796261.00,-0.258101,-0.355269
342847543.00,-0.260366,-0.354504
342898825.00,-0.262740,-0.354431
342950107.00,-0.265285,-0.354258
343001389.00,-0.267894,-0.353220
343052671.00,-0.270521,-0.352964
343103953.00,-0.272823,-0.352256
343155235.00,-0.275508,-0.351514
343206518.00,-0.277523,-0.350843
