DATE: 2018/06/07
TIME: 06:47:43
Frequency(Hz),	I(V),	Q(V)
331584081.00,-0.360557,-0.252257
331586645.00,-0.360358,-0.252421
331589209.00,-0.359783,-0.251900
331591773.00,-0.359834,-0.251526
331594337.00,-0.359271,-0.251579
331596901.00,-0.358792,-0.251478
331599465.00,-0.358503,-0.250896
331602029.00,-0.358133,-0.250470
331604593.00,-0.357754,-0.250162
331607157.00,-0.357278,-0.249660
331609722.00,-0.356376,-0.249216
331612286.00,-0.355782,-0.248650
331614850.00,-0.354549,-0.248580
331617414.00,-0.353011,-0.247444
331619978.00,-0.351327,-0.246779
331622542.00,-0.349202,-0.245932
331625106.00,-0.346420,-0.245256
331627670.00,-0.343058,-0.244202
331630234.00,-0.338149,-0.242942
331632798.00,-0.329016,-0.241481
331635363.00,-0.313887,-0.241081
331637927.00,-0.281050,-0.248885
331640491.00,-0.226842,-0.354937
331643055.00,-0.382039,-0.384149
331645619.00,-0.405752,-0.316187
331648183.00,-0.398278,-0.288942
331650747.00,-0.391898,-0.277317
331653311.00,-0.387314,-0.271034
331655875.00,-0.384089,-0.267070
331658439.00,-0.382006,-0.264739
331661004.00,-0.380123,-0.262843
331663568.00,-0.378502,-0.261113
331666132.00,-0.377076,-0.260361
331668696.00,-0.376505,-0.259020
331671260.00,-0.375603,-0.258161
331673824.00,-0.374699,-0.257852
331676388.00,-0.374319,-0.257152
331678952.00,-0.373356,-0.256497
331681516.00,-0.373099,-0.256202
331684081.00,-0.372695,-0.255646
