DATE: 2018/06/07
TIME: 07:24:32
Frequency(Hz),	I(V),	Q(V)
361786728.00,-0.308894,-0.218504
361786828.00,-0.309406,-0.218047
361786929.00,-0.308658,-0.218120
361787029.00,-0.308205,-0.217901
361787130.00,-0.308509,-0.218206
361787230.00,-0.308308,-0.217972
361787331.00,-0.307827,-0.218076
361787431.00,-0.308103,-0.218458
361787532.00,-0.308408,-0.218256
361787632.00,-0.307950,-0.218278
361787733.00,-0.307946,-0.218348
361787833.00,-0.307676,-0.218531
361787934.00,-0.307823,-0.218132
361788034.00,-0.307557,-0.218133
361788135.00,-0.307143,-0.218452
361788235.00,-0.306919,-0.218863
361788336.00,-0.306568,-0.218561
361788436.00,-0.306740,-0.218222
361788537.00,-0.306355,-0.218269
361788637.00,-0.306583,-0.218855
361788738.00,-0.306492,-0.218663
361788838.00,-0.306502,-0.218730
361788939.00,-0.306093,-0.218441
361789039.00,-0.306004,-0.218545
361789140.00,-0.305764,-0.218677
361789240.00,-0.305261,-0.218757
361789341.00,-0.305206,-0.218873
361789441.00,-0.304994,-0.218214
361789542.00,-0.305113,-0.218435
361789642.00,-0.304506,-0.218457
361789743.00,-0.304221,-0.218367
361789843.00,-0.304348,-0.218694
361789944.00,-0.304027,-0.218958
361790044.00,-0.303900,-0.218792
361790145.00,-0.303898,-0.218687
361790245.00,-0.303612,-0.218801
361790346.00,-0.303545,-0.218293
361790446.00,-0.303032,-0.218903
361790547.00,-0.302578,-0.219047
361790647.00,-0.302575,-0.219068
361790748.00,-0.302291,-0.219245
361790848.00,-0.301734,-0.219206
361790949.00,-0.301806,-0.219108
361791049.00,-0.301251,-0.219524
361791150.00,-0.301107,-0.219007
361791250.00,-0.301086,-0.219467
361791351.00,-0.300350,-0.219893
361791451.00,-0.300278,-0.219368
361791552.00,-0.299880,-0.219665
361791652.00,-0.299944,-0.219882
361791753.00,-0.299532,-0.219869
361791853.00,-0.299322,-0.220035
361791954.00,-0.299235,-0.220274
361792054.00,-0.299280,-0.220222
361792155.00,-0.298128,-0.219919
361792255.00,-0.298758,-0.220191
361792356.00,-0.298181,-0.220639
361792456.00,-0.297573,-0.220447
361792557.00,-0.296957,-0.220738
361792657.00,-0.296509,-0.221058
361792758.00,-0.296273,-0.221309
361792858.00,-0.295843,-0.221039
361792959.00,-0.295839,-0.221914
361793059.00,-0.295149,-0.221257
361793160.00,-0.295018,-0.221053
361793260.00,-0.294701,-0.221716
361793361.00,-0.294501,-0.222062
361793461.00,-0.293687,-0.221647
361793562.00,-0.293269,-0.222051
361793662.00,-0.292747,-0.222136
361793763.00,-0.291946,-0.222893
361793863.00,-0.291709,-0.223392
361793964.00,-0.291415,-0.223104
361794064.00,-0.290820,-0.223249
361794165.00,-0.290383,-0.223759
361794265.00,-0.289930,-0.223156
361794366.00,-0.290034,-0.223658
361794466.00,-0.288976,-0.223934
361794567.00,-0.288292,-0.224215
361794667.00,-0.288307,-0.224365
361794768.00,-0.287458,-0.224491
361794868.00,-0.286929,-0.225124
361794969.00,-0.286635,-0.225544
361795069.00,-0.285623,-0.225589
361795170.00,-0.284679,-0.226269
361795270.00,-0.284176,-0.226655
361795371.00,-0.283847,-0.227207
361795471.00,-0.283350,-0.227887
361795572.00,-0.283103,-0.228444
361795672.00,-0.281938,-0.229282
361795773.00,-0.281189,-0.229628
361795873.00,-0.280452,-0.230385
361795974.00,-0.280234,-0.230676
361796074.00,-0.279239,-0.231331
361796175.00,-0.278422,-0.232644
361796275.00,-0.278095,-0.232839
361796376.00,-0.277255,-0.233196
361796476.00,-0.276567,-0.234440
361796577.00,-0.275713,-0.235360
361796677.00,-0.274648,-0.236221
361796778.00,-0.273564,-0.236906
361796878.00,-0.273545,-0.238371
361796979.00,-0.272908,-0.239189
361797079.00,-0.272139,-0.240111
361797180.00,-0.271444,-0.241312
361797280.00,-0.270509,-0.242397
361797381.00,-0.269945,-0.243607
361797481.00,-0.268892,-0.245652
361797582.00,-0.268782,-0.247173
361797682.00,-0.268103,-0.248424
361797783.00,-0.267656,-0.250573
361797883.00,-0.267328,-0.252111
361797984.00,-0.266294,-0.253965
361798084.00,-0.266470,-0.256000
361798185.00,-0.266301,-0.258338
361798285.00,-0.266005,-0.260514
361798386.00,-0.265769,-0.263099
361798486.00,-0.265934,-0.264944
361798587.00,-0.266522,-0.267016
361798687.00,-0.267210,-0.269519
361798788.00,-0.267831,-0.272412
361798888.00,-0.268431,-0.275101
361798989.00,-0.269867,-0.277680
361799089.00,-0.270735,-0.280513
