DATE: 2018/06/07
TIME: 06:49:58
Frequency(Hz),	I(V),	Q(V)
342195363.00,-0.246906,-0.330874
342195463.00,-0.246840,-0.330209
342195564.00,-0.247070,-0.330092
342195664.00,-0.246699,-0.330304
342195765.00,-0.246974,-0.329906
342195865.00,-0.246697,-0.329510
342195966.00,-0.247154,-0.329212
342196066.00,-0.247745,-0.328847
342196167.00,-0.247799,-0.328474
342196267.00,-0.248196,-0.328327
342196368.00,-0.248104,-0.328109
342196468.00,-0.248109,-0.327805
342196569.00,-0.248223,-0.327660
342196669.00,-0.248063,-0.327238
342196770.00,-0.247917,-0.326966
342196870.00,-0.247905,-0.326639
342196971.00,-0.247960,-0.326668
342197071.00,-0.248326,-0.325517
342197172.00,-0.248254,-0.325714
342197272.00,-0.248657,-0.325273
342197373.00,-0.249085,-0.324829
342197473.00,-0.249323,-0.324619
342197574.00,-0.249433,-0.324380
342197674.00,-0.248842,-0.324341
342197775.00,-0.249613,-0.323891
342197875.00,-0.249445,-0.323877
342197976.00,-0.249575,-0.323547
342198076.00,-0.249666,-0.322941
342198177.00,-0.249756,-0.322437
342198277.00,-0.250244,-0.322018
342198378.00,-0.250358,-0.321790
342198478.00,-0.250302,-0.321263
342198579.00,-0.250413,-0.320681
342198679.00,-0.250252,-0.320026
342198780.00,-0.250805,-0.319840
342198880.00,-0.250966,-0.319849
342198981.00,-0.251611,-0.319045
342199081.00,-0.251600,-0.318794
342199182.00,-0.251971,-0.318373
342199282.00,-0.251958,-0.317737
342199383.00,-0.252172,-0.317092
342199483.00,-0.252070,-0.316484
342199584.00,-0.252685,-0.316089
342199684.00,-0.252575,-0.315279
342199785.00,-0.251927,-0.315478
342199885.00,-0.252538,-0.314500
342199986.00,-0.253012,-0.313756
342200086.00,-0.252879,-0.313659
342200187.00,-0.253399,-0.312812
342200287.00,-0.253238,-0.312160
342200388.00,-0.253874,-0.311663
342200488.00,-0.253617,-0.310916
342200589.00,-0.254138,-0.310296
342200689.00,-0.253967,-0.309653
342200790.00,-0.253933,-0.309085
342200890.00,-0.254412,-0.308659
342200991.00,-0.254199,-0.307447
342201091.00,-0.254512,-0.306928
342201192.00,-0.254611,-0.305904
342201292.00,-0.254835,-0.305128
342201393.00,-0.255235,-0.304278
342201493.00,-0.254920,-0.303323
342201594.00,-0.255350,-0.302585
342201694.00,-0.255410,-0.301639
342201795.00,-0.255676,-0.300772
342201895.00,-0.255856,-0.299672
342201996.00,-0.256132,-0.298560
342202096.00,-0.255914,-0.297727
342202197.00,-0.255613,-0.296926
342202297.00,-0.255889,-0.295561
342202398.00,-0.256242,-0.294811
342202498.00,-0.256365,-0.293087
342202599.00,-0.255951,-0.291993
342202699.00,-0.256279,-0.290632
342202800.00,-0.256198,-0.289411
342202900.00,-0.256419,-0.287901
342203001.00,-0.256154,-0.286624
342203101.00,-0.256053,-0.284915
342203202.00,-0.255955,-0.283152
342203302.00,-0.255903,-0.281555
342203403.00,-0.255537,-0.280168
342203503.00,-0.255493,-0.278144
342203604.00,-0.255426,-0.275844
342203704.00,-0.255103,-0.274643
342203805.00,-0.254953,-0.272638
342203905.00,-0.254505,-0.269943
342204006.00,-0.254049,-0.268542
342204106.00,-0.253197,-0.266215
342204207.00,-0.252777,-0.263758
342204307.00,-0.251667,-0.261004
342204408.00,-0.250718,-0.258589
342204508.00,-0.249538,-0.255921
342204609.00,-0.248252,-0.253933
342204709.00,-0.246441,-0.250688
342204810.00,-0.244733,-0.247185
342204910.00,-0.243227,-0.243375
342205011.00,-0.240659,-0.240782
342205111.00,-0.238763,-0.237288
342205212.00,-0.235744,-0.233630
342205312.00,-0.232469,-0.230519
342205413.00,-0.228621,-0.226198
342205513.00,-0.224157,-0.223016
342205614.00,-0.219168,-0.218836
342205714.00,-0.213725,-0.215138
342205815.00,-0.206734,-0.211460
342205915.00,-0.199742,-0.208349
342206016.00,-0.191653,-0.205738
342206116.00,-0.182343,-0.203384
342206217.00,-0.172260,-0.201616
342206317.00,-0.161358,-0.201385
342206418.00,-0.151054,-0.202322
342206518.00,-0.139121,-0.204766
342206619.00,-0.129246,-0.208023
342206719.00,-0.118350,-0.212796
342206820.00,-0.109173,-0.218567
342206920.00,-0.100933,-0.224190
342207021.00,-0.092662,-0.232343
342207121.00,-0.088275,-0.237650
342207222.00,-0.082001,-0.245991
342207322.00,-0.077864,-0.252822
342207423.00,-0.073720,-0.261370
342207523.00,-0.071177,-0.267880
342207624.00,-0.069198,-0.275902
342207724.00,-0.068239,-0.283061
342207825.00,-0.067307,-0.289807
342207925.00,-0.067320,-0.296500
342208026.00,-0.067266,-0.303218
342208126.00,-0.068759,-0.309765
342208227.00,-0.069889,-0.315565
342208327.00,-0.071677,-0.320125
342208428.00,-0.073370,-0.325924
342208528.00,-0.075883,-0.330548
342208629.00,-0.077967,-0.335323
342208729.00,-0.081137,-0.340302
342208830.00,-0.083187,-0.343534
342208930.00,-0.086321,-0.347469
342209031.00,-0.088879,-0.350857
342209131.00,-0.091471,-0.354089
342209232.00,-0.094969,-0.357089
342209332.00,-0.097985,-0.360023
342209433.00,-0.101156,-0.362341
342209533.00,-0.104176,-0.364704
342209634.00,-0.107238,-0.366849
342209734.00,-0.110106,-0.368912
342209835.00,-0.113118,-0.370418
342209935.00,-0.116508,-0.371764
342210036.00,-0.119527,-0.373478
342210136.00,-0.122106,-0.374696
342210237.00,-0.124992,-0.375723
342210337.00,-0.127593,-0.376641
342210438.00,-0.130268,-0.377619
342210538.00,-0.132871,-0.378453
342210639.00,-0.135403,-0.379677
342210739.00,-0.137377,-0.379896
342210840.00,-0.139699,-0.380478
342210940.00,-0.141753,-0.380886
342211041.00,-0.144233,-0.381029
342211141.00,-0.145974,-0.381729
342211242.00,-0.147778,-0.381685
