DATE: 2018/06/07
TIME: 07:08:51
Frequency(Hz),	I(V),	Q(V)
342000000.00,-0.234804,-0.297415
342008163.00,-0.234419,-0.297191
342016326.00,-0.234708,-0.296652
342024489.00,-0.235458,-0.296534
342032653.00,-0.235636,-0.296795
342040816.00,-0.235481,-0.297014
342048979.00,-0.236092,-0.296540
342057142.00,-0.236583,-0.296803
342065306.00,-0.236443,-0.296966
342073469.00,-0.236633,-0.296239
342081632.00,-0.236443,-0.296395
342089795.00,-0.236575,-0.296560
342097959.00,-0.236765,-0.296882
342106122.00,-0.237611,-0.296039
342114285.00,-0.237856,-0.296946
342122448.00,-0.238529,-0.295904
342130612.00,-0.239185,-0.296217
342138775.00,-0.239372,-0.296613
342146938.00,-0.239886,-0.295904
342155102.00,-0.239852,-0.296134
342163265.00,-0.240408,-0.295363
342171428.00,-0.242082,-0.294309
342179591.00,-0.242817,-0.293189
342187755.00,-0.245976,-0.291968
342195918.00,-0.248951,-0.284642
342204081.00,-0.250657,-0.252737
342212244.00,-0.206044,-0.311587
342220408.00,-0.228335,-0.306983
342228571.00,-0.231793,-0.303536
342236734.00,-0.234567,-0.302882
342244897.00,-0.236348,-0.302358
342253061.00,-0.236871,-0.301134
342261224.00,-0.238447,-0.301514
342269387.00,-0.238428,-0.301276
342277551.00,-0.239762,-0.300978
342285714.00,-0.239356,-0.300361
342293877.00,-0.239378,-0.300812
342302040.00,-0.240066,-0.300077
342310204.00,-0.240211,-0.299695
342318367.00,-0.240516,-0.299263
342326530.00,-0.241381,-0.299703
342334693.00,-0.239623,-0.299060
342342857.00,-0.240920,-0.299628
342351020.00,-0.241765,-0.299634
342359183.00,-0.242198,-0.299692
342367346.00,-0.241040,-0.299652
342375510.00,-0.242164,-0.299512
342383673.00,-0.241618,-0.298679
342391836.00,-0.242573,-0.299674
342400000.00,-0.242380,-0.299967
