DATE: 2018/06/07
TIME: 06:51:11
Frequency(Hz),	I(V),	Q(V)
355340000.00,-0.166338,-0.329962
355348163.00,-0.167234,-0.330129
355356326.00,-0.167055,-0.329749
355364489.00,-0.168890,-0.330469
355372653.00,-0.167732,-0.329817
355380816.00,-0.169504,-0.330617
355388979.00,-0.168969,-0.330730
355397142.00,-0.170492,-0.330865
355405306.00,-0.169792,-0.331284
355413469.00,-0.170849,-0.332641
355421632.00,-0.170991,-0.332549
355429795.00,-0.170239,-0.332501
355437959.00,-0.172079,-0.331987
355446122.00,-0.173466,-0.332722
355454285.00,-0.173853,-0.332518
355462448.00,-0.174249,-0.332925
355470612.00,-0.175188,-0.332912
355478775.00,-0.176875,-0.333174
355486938.00,-0.177331,-0.333042
355495102.00,-0.177773,-0.333619
355503265.00,-0.180239,-0.333682
355511428.00,-0.181718,-0.333387
355519591.00,-0.186175,-0.332306
355527755.00,-0.193806,-0.329649
355535918.00,-0.210072,-0.321073
355544081.00,-0.179537,-0.169599
355552244.00,-0.127732,-0.331102
355560408.00,-0.150611,-0.338001
355568571.00,-0.157936,-0.337615
355576734.00,-0.162819,-0.340455
355584897.00,-0.165482,-0.338801
355593061.00,-0.166132,-0.339189
355601224.00,-0.168489,-0.338770
355609387.00,-0.169440,-0.339221
355617551.00,-0.170975,-0.339556
355625714.00,-0.171296,-0.339348
355633877.00,-0.172333,-0.340080
355642040.00,-0.172377,-0.340181
355650204.00,-0.173571,-0.341113
355658367.00,-0.173683,-0.340998
355666530.00,-0.174549,-0.340550
355674693.00,-0.175432,-0.340748
355682857.00,-0.175043,-0.341851
355691020.00,-0.176716,-0.342094
355699183.00,-0.176569,-0.341325
355707346.00,-0.176685,-0.341776
355715510.00,-0.176587,-0.341878
355723673.00,-0.177070,-0.343188
355731836.00,-0.178398,-0.342638
355740000.00,-0.177929,-0.343697
