# T_BB,x,x_err
6.650000000000000355e+00,-1.543781616531334036e-07,7.013498650701104029e-08
7.099999999999999645e+00,-2.950636737166352453e-05,3.965943310001971250e-06
7.450000000000000178e+00,-5.612247734965024771e-05,8.605369365645921447e-07
7.799999999999999822e+00,-8.267716440464406796e-05,2.977247590424958654e-06
8.449999999999999289e+00,-1.328865860329632876e-04,6.526024383062665091e-06
