# T_BB,Sxx,Sxx_err
5.610000000000000320e+00,2.077544524296585469e-17,1.088867352205921901e-18
5.750000000000000000e+00,2.058592847919844045e-17,1.685925289560979985e-18
5.950000000000000178e+00,2.120750875788950478e-17,1.220549057258961453e-18
6.650000000000000355e+00,2.629952117721880251e-17,1.692510516936319324e-18
7.099999999999999645e+00,2.842828697388711104e-17,1.862666762412417590e-18
7.450000000000000178e+00,2.833767288530778947e-17,8.300373336546488924e-19
7.799999999999999822e+00,3.501117475201301914e-17,1.427044244581693043e-18
