# T_stage,Sxx,Sxx_err
2.149999999999999967e-01,1.942259491322843229e-17,9.595224718153206316e-19
2.250000000000000056e-01,2.215936134012850798e-17,6.641562383488117570e-19
2.500000000000000000e-01,2.880988437538846702e-17,1.238205459257591529e-18
2.750000000000000222e-01,2.744407424244340208e-17,1.049239648960443672e-18
2.999999999999999889e-01,3.137861139319002082e-17,7.468917501538778846e-19
3.250000000000000111e-01,3.250127689456770947e-17,2.267920038256733222e-18
