# T_BB,x,x_err
5.610000000000000320e+00,-4.276855331177157643e-08,3.842044963427663774e-08
5.750000000000000000e+00,-1.568727223132029544e-07,3.881852322368204058e-08
5.950000000000000178e+00,-3.918524383231152839e-07,4.554498178859684478e-08
6.650000000000000355e+00,-1.250748307302283347e-06,3.299471116891723851e-08
7.099999999999999645e+00,-2.284900252046976864e-06,7.957931355256105436e-08
7.450000000000000178e+00,-3.231293032324425913e-06,3.276239735778043363e-08
7.799999999999999822e+00,-4.267917693671280340e-06,5.094346973569378390e-08
