# T_BB,Sxx,Sxx_err
5.650000000000000355e+00,6.283000764882566119e-17,2.122717290638443721e-18
6.650000000000000355e+00,7.123236479762860031e-17,2.432945984054980485e-18
7.099999999999999645e+00,7.327941694787452525e-17,2.876144101334148078e-18
7.450000000000000178e+00,7.223864996000810517e-17,4.589010402586158615e-18
7.799999999999999822e+00,7.351194805502441847e-17,2.375633580297470258e-18
8.449999999999999289e+00,7.476516908058948003e-17,2.100473267881464967e-18
